PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5329102,Active,
127048221,Active,
127048264,Active,
127048265,Unspecified,
127048266,Unspecified,
127048267,Unspecified,
127048604,Unspecified,
127048922,Active,
127048949,Unspecified,
127049564,Unspecified,
127049908,Unspecified,
127049909,Unspecified,
127049910,Unspecified,
127050203,Unspecified,
127050826,Unspecified,
127052354,Unspecified,
127052569,Active,
127052570,Unspecified,
127052571,Unspecified,
127052572,Unspecified,
127052573,Unspecified,
127052574,Unspecified,
127052840,Active,
