PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
22294826,Unspecified,
127039625,Unspecified,
127039626,Unspecified,
127040309,Unspecified,
127040310,Unspecified,
127040311,Unspecified,
127040312,Unspecified,
127040961,Unspecified,
127040962,Unspecified,
127040963,Unspecified,
127041282,Unspecified,
127041295,Unspecified,
127041296,Unspecified,
127041297,Unspecified,
127041298,Unspecified,
127041586,Unspecified,
127041599,Unspecified,
127041600,Unspecified,
127041893,Unspecified,
127041894,Unspecified,
127042574,Unspecified,
