PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5351344,Active,
31703,Active,
36314,Active,
5978,Active,
127048399,Active,
127048400,Active,
21850299,Unspecified,
127048401,Unspecified,
127048402,Unspecified,
127048403,Unspecified,
127049070,Active,
127049384,Active,
127049385,Active,
127051876,Active,
127051877,Active,
127051878,Active,
127051879,Active,
127051880,Active,
127051881,Active,
127052200,Active,
127052509,Active,
21850214,Unspecified,
127052790,Active,
127052791,Active,
127052792,Active,
21850283,Active,
127052793,Active,
127052794,Active,
127052795,Active,
127052796,Unspecified,
127052797,Unspecified,
127052798,Active,
127052799,Active,
127052800,Active,
