PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
135976586,Active,
135976587,Active,
54738543,Active,
54738544,Active,
54738545,Active,
46880253,Active,
46880295,Unspecified,
46880296,Active,
46880297,Unspecified,
46880298,Unspecified,
54676868,Active,
213013,Active,
46880857,Unspecified,
46880858,Unspecified,
46880859,Unspecified,
46880860,Active,
46880902,Active,
46880903,Active,
46880904,Unspecified,
46880905,Active,
46880906,Active,
46880907,Active,
54738546,Active,
54738547,Active,
54738548,Active,
54738549,Active,
54738550,Active,
54738551,Active,
