PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
31703,Active,
122193081,Active,
122193082,Unspecified,
122193083,Active,
122193084,Active,
122193085,Active,
122193086,Active,
122193087,Active,
122193088,Active,
122193089,Active,
122194578,Active,
122194579,Active,
122194580,Active,
122194581,Active,
122194582,Active,
122194583,Active,
122194584,Active,
122194585,Active,
122194586,Unspecified,
122194587,Unspecified,
122194588,Active,
122194589,Active,
122194590,Active,
122194591,Active,
122194592,Active,
122194593,Unspecified,
122194594,Active,
122194595,Active,
122194596,Active,
122194597,Active,
122194598,Active,
122194599,Active,
122194600,Active,
122194601,Active,
122194602,Active,
