PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
4463,Unspecified,
35370,Unspecified,
24066,Unspecified,
135398739,Unspecified,
26837210,Unspecified,
134132723,Unspecified,
134133021,Unspecified,
134133222,Unspecified,
134135685,Unspecified,
134135776,Unspecified,
134135855,Unspecified,
7977866,Unspecified,
134147384,Unspecified,
134148659,Unspecified,
134149081,Unspecified,
134149101,Unspecified,
134149514,Unspecified,
134150464,Unspecified,
134151018,Unspecified,
134152499,Unspecified,
134152791,Unspecified,
134153192,Unspecified,
134153406,Unspecified,
134153937,Unspecified,
134157726,Unspecified,
