PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
460612,Active,
26879,Unspecified,
53305112,Unspecified,
53304962,Unspecified,
53305115,Active,
53305116,Active,
71597546,Unspecified,
71597548,Active,
66561162,Unspecified,
118710847,Unspecified,
118710848,Unspecified,
118710849,Unspecified,
118710850,Unspecified,
118710851,Unspecified,
118710852,Unspecified,
118710853,Unspecified,
118710854,Unspecified,
118710855,Unspecified,
118710856,Active,
118710857,Unspecified,
118710858,Unspecified,
118710859,Active,
118710860,Active,
118710861,Active,
118710862,Active,
118710863,Active,
118710864,Unspecified,
118710865,Active,
118710866,Active,
118710867,Active,
118710868,Active,
118710869,Unspecified,
118710870,Active,
118710871,Active,
118710872,Active,
118710873,Active,
118710874,Unspecified,
118710875,Active,
