PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5329102,Active,
127048221,Unspecified,
127048264,Unspecified,
127048265,Inconclusive,
127048266,Inconclusive,
127048267,Unspecified,
127048604,Inconclusive,
127048922,Active,
127048949,Inconclusive,
127049564,Inconclusive,
127049908,Inconclusive,
127049909,Inconclusive,
127049910,Inconclusive,
127050203,Inconclusive,
127050826,Inconclusive,
127052354,Unspecified,
127052569,Unspecified,
127052570,Inconclusive,
127052571,Inconclusive,
127052572,Inconclusive,
127052573,Inconclusive,
127052574,Inconclusive,
127052840,Unspecified,
