PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
2733526,Active,
49799020,Inactive,
49799056,Active,
49799057,Inactive,
49799196,Inactive,
49799197,Inactive,
49799198,Active,
49799199,Active,
49799200,Inactive,
49799201,Active,
49799202,Active,
49799203,Active,
46898060,Active,
49799204,Inactive,
49799320,Active,
46898059,Active,
49799321,Inactive,
49799322,Active,
49799353,Inactive,
49799354,Inactive,
49799355,Inactive,
49799356,Inactive,
49799423,Active,
49799424,Active,
49799425,Inactive,
49799529,Active,
49799530,Active,
49799575,Active,
49799576,Active,
49799577,Active,
