PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5746,Unspecified,
36314,Unspecified,
57390548,Unspecified,
54765287,Unspecified,
57390549,Unspecified,
57390550,Unspecified,
57390551,Unspecified,
57392321,Unspecified,
57392322,Unspecified,
57392323,Unspecified,
57392324,Unspecified,
57392325,Unspecified,
57394067,Unspecified,
57394068,Unspecified,
57395840,Unspecified,
54612979,Unspecified,
57397618,Unspecified,
57397619,Unspecified,
54613245,Unspecified,
54613554,Unspecified,
57401063,Unspecified,
57401064,Unspecified,
57401065,Unspecified,
57402821,Unspecified,
57402822,Unspecified,
57402823,Unspecified,
