PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
2733526,Active,
31703,Active,
118723713,Active,
118723714,Active,
118723715,Active,
118723716,Active,
118723718,Active,
118723722,Active,
118724066,Active,
122187186,Active,
122187187,Active,
122187188,Active,
122187189,Active,
122187190,Active,
122187191,Active,
122187192,Active,
122187193,Active,
122187194,Active,
122187195,Unspecified,
122187196,Unspecified,
122187197,Active,
122187198,Active,
122187199,Active,
122187200,Active,
122187201,Active,
