PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
4050484,Inactive,0
3238304,Inactive,0
3238586,Inactive,0
3240527,Inactive,0
1518866,Inactive,0
5308871,Inactive,0
3242787,Inactive,0
3237892,Inactive,0
5308604,Inactive,0
3245495,Inactive,0
3243124,Inactive,0
3240383,Inactive,0
3239758,Inactive,0
3238262,Inactive,0
3238877,Inactive,0
3235998,Inactive,0
3241315,Inactive,0
3241897,Inactive,0
3235729,Inactive,0
2913184,Inactive,0
3488316,Inactive,0
1534927,Inactive,0
135515076,Inactive,0
3238577,Inactive,0
3245970,Inactive,0
3241945,Inactive,0
3235774,Inactive,0
2158304,Inactive,0
135412413,Inactive,0
135485432,Inactive,0
2939541,Inactive,0
3244015,Inactive,0
3243198,Inactive,0
3238492,Inactive,0
5307360,Inactive,0
4256680,Inactive,0
3459189,Inactive,0
5307527,Inactive,0
3245581,Inactive,0
5308105,Inactive,0
5308495,Inactive,0
5308882,Inactive,0
5307686,Inactive,1
5307774,Inactive,0
3242713,Inactive,0
5309818,Inactive,0
5309825,Inactive,0
3236097,Inactive,0
3241476,Inactive,0
5307181,Inactive,0
3237839,Inactive,0
5308760,Inactive,0
3236102,Inactive,0
5308273,Inactive,0
3245433,Inactive,0
3235630,Inactive,0
5308205,Inactive,0
5308678,Inactive,0
5307606,Inactive,0
5309426,Inactive,0
5307277,Inactive,0
3242352,Inactive,0
3238341,Inactive,0
3243829,Inactive,0
3243676,Inactive,0
3235767,Inactive,0
3238827,Inactive,0
3236562,Inactive,0
3240331,Inactive,0
3244688,Inactive,0
3241635,Inactive,0
3245487,Inactive,1
3245272,Inactive,0
3236122,Inactive,0
3241572,Inactive,0
3793334,Inactive,0
3237843,Inactive,0
3245255,Inactive,0
3243513,Inactive,0
3239249,Inactive,0
3242209,Inactive,0
3238612,Inactive,0
3236893,Inactive,0
3238060,Inactive,0
1177322,Inactive,0
2201404,Inactive,0
3244936,Inactive,0
3240356,Inactive,0
3242177,Inactive,0
3240438,Inactive,0
5309419,Inactive,0
3241817,Inactive,0
3243217,Inactive,0
5309227,Inactive,0
5307456,Inactive,0
135515093,Inactive,0
3239567,Inactive,0
3243646,Inactive,0
3242373,Inactive,0
3241257,Inactive,0
3245321,Inactive,0
3240145,Inactive,0
3239310,Inactive,0
3235932,Inactive,0
3743017,Inactive,0
5308752,Inactive,0
3244140,Inactive,0
1267735,Inactive,0
2155914,Inactive,0
3239062,Inactive,0
3241442,Inactive,0
983998,Inactive,0
3240969,Inactive,0
3242983,Inactive,0
3239227,Inactive,0
3236278,Inactive,0
3238712,Inactive,0
3242537,Inactive,0
3243325,Inactive,0
3238254,Inactive,0
3240672,Inactive,0
3242611,Inactive,0
5308662,Inactive,0
3244675,Inactive,0
5308389,Inactive,1
3237721,Inactive,0
3239220,Inactive,0
3238696,Inactive,0
3242387,Inactive,0
3238878,Inactive,0
3245190,Inactive,0
3245957,Inactive,0
3245381,Inactive,0
3240799,Inactive,0
3237076,Inactive,0
5178250,Inactive,0
3237773,Inactive,0
2940070,Inconclusive,4
3237701,Inactive,0
3244893,Inactive,0
3241385,Inactive,0
3240532,Inactive,0
1518343,Inactive,0
3238380,Inactive,0
3242351,Inactive,0
3238189,Inactive,0
3245960,Inactive,0
3237494,Inactive,0
3238179,Inactive,0
3237520,Inactive,0
3241648,Inactive,0
11949201,Inactive,0
11949195,Inactive,0
11949175,Inactive,0
11949181,Inactive,0
11948998,Inactive,0
11949136,Inactive,0
11949108,Inactive,0
11949153,Inactive,0
11948935,Inactive,0
11949109,Inactive,0
11949134,Inactive,0
11949107,Inactive,0
11949221,Inactive,0
11949208,Inactive,0
11949199,Inactive,0
11949196,Inactive,0
11948955,Inactive,0
11949152,Inactive,0
11949100,Inactive,0
11949165,Inactive,0
11948953,Inactive,0
11949001,Inactive,0
11949189,Inactive,0
11948943,Inactive,0
11949167,Inactive,0
11949187,Inactive,0
11949172,Inactive,0
11949237,Inactive,0
11949106,Inactive,0
11949126,Inactive,0
11949000,Inactive,0
11949234,Inactive,0
11948983,Inactive,0
11949198,Inactive,0
11949148,Inactive,0
11948976,Inactive,0
11949116,Inactive,0
11948997,Inactive,0
11949224,Inactive,0
11949193,Inactive,0
11948962,Inactive,0
11948940,Inactive,0
11949139,Inactive,0
11948990,Inactive,0
11949096,Inactive,0
11948978,Inactive,0
11949228,Inactive,0
11949217,Inactive,0
11949236,Inactive,0
11949171,Inactive,0
11949115,Inactive,0
11949210,Inactive,0
11949191,Inactive,0
11949170,Inactive,0
11949194,Inactive,0
11949174,Inactive,0
11949219,Inactive,0
11949222,Inactive,0
11949209,Inactive,0
11949186,Inactive,0
11949218,Inactive,0
11949179,Inactive,0
11949205,Inactive,0
11949183,Inactive,0
11949130,Inactive,0
11949111,Inactive,0
11949102,Inactive,0
11949223,Inactive,0
11949220,Inactive,0
11949214,Inactive,0
11949182,Inactive,0
11949162,Inactive,0
11949128,Inactive,0
11949213,Inactive,0
11948972,Inactive,0
11949114,Inactive,0
11949212,Inactive,0
11949230,Inactive,0
