PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
64945,Unspecified,
3385,Unspecified,
118735009,Unspecified,
118735010,Unspecified,
118735011,Unspecified,
118735012,Unspecified,
118735013,Unspecified,
118735014,Unspecified,
118735015,Unspecified,
118735016,Unspecified,
118735017,Unspecified,
118735018,Unspecified,
118735019,Unspecified,
118735020,Unspecified,
118735021,Unspecified,
118735022,Unspecified,
118735023,Unspecified,
118735024,Unspecified,
118735025,Unspecified,
118735026,Unspecified,
118735027,Unspecified,
118735028,Unspecified,
118735029,Unspecified,
118735030,Unspecified,
118735031,Unspecified,
118735032,Unspecified,
118735033,Unspecified,
118735034,Unspecified,
118735035,Unspecified,
118735036,Unspecified,
118735037,Unspecified,
118735038,Unspecified,
118735039,Unspecified,
118735040,Unspecified,
118735041,Unspecified,
118735042,Unspecified,
118735043,Unspecified,
118735044,Unspecified,
118735045,Unspecified,
118735046,Unspecified,
