PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
10228,Active,
11977753,Active,
118709361,Active,
118709362,Inconclusive,
118709363,Inconclusive,
118709364,Inconclusive,
118709365,Inconclusive,
118709366,Active,
118709367,Active,
118709368,Inconclusive,
118709369,Active,
118709370,Active,
118709371,Active,
118709372,Inconclusive,
118709373,Inconclusive,
118709376,Inconclusive,
118709377,Inconclusive,
118709378,Active,
118709379,Active,
118709380,Inconclusive,
118709381,Active,
118709382,Active,
