PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
70681521,Active,
67616580,Active,
67617276,Active,
67617590,Active,
67617805,Active,
67617657,Active,
70683648,Active,
67616823,Active,
56965335,Active,
56965336,Active,
70685787,Active,
67617339,Active,
67616256,Active,
70685789,Unspecified,
67616724,Active,
56965231,Active,
67607446,Active,
67617538,Active,
67616238,Active,
67616627,Active,
70692104,Active,
67607695,Active,
70694151,Active,
67609322,Active,
67617592,Active,
10266162,Active,
70696276,Active,
67616261,Active,
70696277,Active,
70696278,Active,
70696279,Active,
