PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
118720654,Active,
118143962,Active,
118720655,Active,
118720656,Active,
118146849,Active,
118146984,Active,
118146814,Active,
118146797,Active,
118146855,Active,
118146798,Active,
118146793,Active,
118144051,Active,
70702010,Active,
118146727,Active,
118146932,Active,
118146794,Active,
87057579,Active,
118146748,Active,
118144359,Active,
118146884,Active,
118144281,Active,
118146828,Active,
118146826,Active,
118146874,Active,
118146873,Active,
118144367,Active,
118146805,Active,
118146979,Active,
118146804,Active,
118146882,Active,
101891709,Active,
118720657,Active,
118146813,Active,
86763302,Active,
118144380,Active,
118720658,Active,
118720659,Active,
