PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
10114,Active,
111253,Active,
44572791,Active,
44572989,Active,
44572992,Active,
44572993,Active,
44572995,Active,
44572996,Active,
44572997,Active,
56659723,Unspecified,
56659797,Active,
56659798,Active,
56659799,Active,
56659800,Unspecified,
56666697,Active,
21594141,Unspecified,
56670046,Unspecified,
56670115,Active,
56670116,Active,
56673562,Active,
56673633,Active,
56676955,Active,
56680274,Active,
56680275,Active,
56683598,Active,
56683599,Active,
56683600,Active,
