PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
31703,Active,
127033135,Unspecified,
127033136,Active,
127033142,Active,
127033411,Active,
127033412,Unspecified,
127033413,Active,
127033414,Unspecified,
127033415,Active,
127033416,Active,
127033417,Active,
127033418,Active,
127033711,Active,
127033712,Active,
15127781,Active,
127033713,Active,
127033988,Active,
127034007,Active,
127034008,Active,
127034015,Active,
127034016,Unspecified,
127034017,Unspecified,
127034252,Active,
127034253,Active,
127034254,Active,
127034255,Active,
127034259,Active,
127034260,Active,
127034287,Active,
