PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
73588,Active,
44592813,Active,
14467636,Active,
15386508,Unspecified,
442084,Active,
56679842,Unspecified,
2751798,Active,
46830377,Active,
25211156,Active,
73346204,Active,
73346205,Unspecified,
1023607,Unspecified,
23252567,Active,
73347717,Unspecified,
11750829,Active,
73347718,Unspecified,
73347719,Unspecified,
72549723,Active,
73349245,Unspecified,
73349246,Unspecified,
73349247,Unspecified,
73350828,Active,
333723,Active,
49777789,Active,
49777795,Active,
73353787,Active,
73353788,Unspecified,
10766222,Active,
72549722,Active,
73356863,Unspecified,
