PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
3385,Active,
44578128,Active,
118713859,Active,
118713860,Active,
118713861,Active,
118713862,Unspecified,
118713863,Active,
118713864,Active,
118713865,Active,
118713866,Active,
118713867,Active,
118713868,Active,
118713869,Active,
118713870,Active,
118713871,Unspecified,
118713872,Unspecified,
118713874,Active,
118713876,Active,
118713878,Active,
118713880,Active,
118713882,Active,
118713884,Active,
118713886,Active,
118713888,Active,
