PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
3385,Active,
127048208,Active,
127048209,Active,
127048210,Unspecified,
127048211,Active,
127048212,Unspecified,
127048509,Active,
127049500,Active,
127049538,Active,
127049539,Unspecified,
127049540,Active,
127049541,Unspecified,
127049542,Active,
127050137,Active,
127050138,Active,
127050139,Unspecified,
127050477,Active,
127050790,Unspecified,
127050791,Active,
127050792,Unspecified,
127050793,Active,
127050794,Active,
127051687,Active,
127051688,Unspecified,
127051967,Active,
127052009,Unspecified,
127052010,Active,
127052011,Active,
127052330,Unspecified,
127052331,Active,
127052332,Unspecified,
