PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
4122,Active,
3385,Active,
703492,Unspecified,
555820,Unspecified,
700989,Unspecified,
792340,Unspecified,
7996519,Unspecified,
122189069,Unspecified,
122189070,Unspecified,
122189071,Unspecified,
122189072,Unspecified,
122189073,Unspecified,
122189074,Active,
122189075,Unspecified,
122189076,Active,
122189077,Unspecified,
122189078,Unspecified,
122189079,Unspecified,
122189080,Unspecified,
122189081,Active,
122189082,Unspecified,
122189083,Unspecified,
122189084,Unspecified,
122189085,Unspecified,
122189086,Active,
122189087,Unspecified,
122189088,Unspecified,
122189089,Unspecified,
122189090,Unspecified,
122189091,Unspecified,
122189092,Unspecified,
122189093,Active,
122189094,Unspecified,
122189095,Unspecified,
122189096,Unspecified,
122189097,Unspecified,
122189098,Unspecified,
122189099,Unspecified,
122189100,Unspecified,
122189101,Unspecified,
122189102,Unspecified,
122189103,Unspecified,
122189104,Unspecified,
122189105,Active,
122189106,Unspecified,
122189107,Unspecified,
