PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5770,Active,
161406,Unspecified,
65747,Active,
24799958,Active,
24799622,Active,
24799794,Active,
24799795,Active,
24799456,Active,
24799452,Unspecified,
24799792,Active,
24799454,Active,
150458,Unspecified,
24799789,Active,
24799785,Active,
14751846,Unspecified,
24799449,Unspecified,
24799446,Active,
24799783,Active,
24799447,Active,
44457431,Unspecified,
24799631,Active,
44457432,Unspecified,
44457433,Unspecified,
24799629,Active,
44457444,Unspecified,
14751845,Unspecified,
10924457,Unspecified,
6464086,Unspecified,
45263773,Unspecified,
14751843,Active,
24799788,Active,
24799451,Active,
24799787,Active,
6018,Active,
