PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
31593,Inconclusive,
3599,Unspecified,
134131693,Unspecified,
134132947,Unspecified,
134134004,Inconclusive,
134135672,Unspecified,
11374676,Unspecified,
134137834,Inconclusive,
134138614,Inconclusive,
134138732,Unspecified,
134140136,Unspecified,
134141662,Inconclusive,
134142085,Unspecified,
134143123,Unspecified,
134143783,Inconclusive,
134144012,Inconclusive,
134145662,Inconclusive,
10596830,Inconclusive,
134151797,Inconclusive,
15386544,Unspecified,
