PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
4843,Unspecified,
5284373,Unspecified,
71652665,Unspecified,
71652669,Unspecified,
71652984,Unspecified,
71653127,Unspecified,
71653128,Unspecified,
71653279,Unspecified,
71653431,Unspecified,
71653715,Unspecified,
71652828,Unspecified,
71652831,Unspecified,
71652832,Unspecified,
71653278,Unspecified,
71653433,Unspecified,
71653580,Unspecified,
71653712,Unspecified,
71652666,Unspecified,
71652668,Unspecified,
71652827,Unspecified,
71652985,Unspecified,
71653436,Unspecified,
71653437,Unspecified,
71653713,Unspecified,
71652662,Unspecified,
71652667,Unspecified,
71652830,Unspecified,
71652983,Unspecified,
71652987,Unspecified,
71652988,Unspecified,
71653435,Unspecified,
71653577,Unspecified,
71653710,Unspecified,
71652829,Unspecified,
71653280,Unspecified,
71653281,Unspecified,
71653432,Unspecified,
71653434,Unspecified,
71653576,Unspecified,
71652825,Unspecified,
71652986,Unspecified,
71653711,Unspecified,
71653714,Unspecified,
71652826,Unspecified,
71653130,Unspecified,
71653582,Unspecified,
71652989,Unspecified,
71653129,Unspecified,
71653578,Unspecified,
71653579,Unspecified,
71653581,Unspecified,
