PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
7168,Active,
202396,Active,
280160,Active,
95833,Active,
242888,Active,
4785981,Active,
252604,Active,
78503,Active,
2306549,Active,
4155370,Active,
763883,Active,
531997,Active,
765344,Active,
853652,Active,
8362873,Active,
4410225,Active,
532001,Active,
825431,Active,
966016,Active,
531963,Active,
785556,Active,
793787,Active,
966007,Active,
759456,Active,
531967,Active,
794474,Active,
966762,Active,
295105,Active,
275109,Active,
705916,Active,
722390,Active,
40561022,Active,
1369981,Active,
3582371,Active,
646891,Active,
3532749,Active,
2274358,Active,
532008,Active,
790350,Active,
242891,Active,
7688881,Active,
1380774,Active,
532011,Active,
2876965,Active,
5157369,Active,
4411436,Active,
2665137,Active,
823475,Active,
793815,Active,
22336590,Active,
105534577,Active,
3893537,Active,
1357063,Active,
790108,Active,
803381,Active,
531839,Active,
803364,Active,
835330,Active,
7688876,Active,
1019232,Inactive,
531843,Active,
790127,Active,
1277478,Active,
2635646,Active,
2635656,Active,
8713816,Active,
2635677,Active,
2635672,Active,
2635673,Active,
7688839,Active,
24203363,Active,
9411125,Active,
25341987,Active,
37239285,Active,
615665,Active,
1241284,Active,
26517719,Active,
1230047,Active,
7741668,Active,
702115,Active,
669705,Active,
870401,Active,
3570273,Inactive,
1371056,Active,
724086,Inactive,
1126377,Active,
3095619,Inactive,
724089,Active,
675271,Inactive,
1092365,Inactive,
795014,Active,
7409078,Inactive,
13016199,Active,
54790805,Active,
17085988,Active,
17086057,Active,
135564192,Active,
105534085,Active,
135564193,Active,
135564194,Active,
2990927,Active,
1301291,Active,
2985449,Active,
2111762,Active,
2987322,Inactive,
2987564,Inactive,
7741633,Inactive,
679012,Inactive,
47112445,Inactive,
3120393,Inactive,
19400,Active,
135564195,Inactive,
135564196,Active,
135564197,Inactive,
135564198,Inactive,
135564199,Inactive,
730377,Active,
