PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
2719,Active,
7514817,Unspecified,
7515130,Active,
56945282,Active,
56945407,Unspecified,
56945180,Active,
56945283,Active,
56945184,Active,
56945409,Active,
56946812,Unspecified,
56946814,Active,
56945406,Unspecified,
56946813,Active,
56946815,Active,
56945181,Unspecified,
56945183,Active,
56945179,Unspecified,
56945284,Active,
56945408,Active,
46932090,Unspecified,
56945506,Active,
56945405,Active,
46932001,Active,
56945182,Active,
56945285,Active,
56945286,Unspecified,
56945287,Active,
44243661,Unspecified,
