PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
24360,Active,
6889,Unspecified,
236566,Unspecified,
11840,Unspecified,
87203,Unspecified,
7054,Unspecified,
38333,Unspecified,
73212283,Active,
136249361,Active,
73212597,Unspecified,
73213397,Active,
73213453,Active,
73213456,Active,
73212285,Active,
73212372,Unspecified,
73212453,Active,
136224198,Active,
73212286,Active,
73212528,Active,
73212598,Unspecified,
73213454,Active,
73212376,Active,
73212527,Active,
73213398,Active,
73213457,Active,
73213458,Active,
73212281,Active,
73212449,Active,
73212451,Unspecified,
3082129,Unspecified,
73213455,Active,
73212373,Active,
73212377,Active,
73212450,Active,
73212454,Active,
73212596,Unspecified,
73212282,Active,
73212284,Active,
73212371,Active,
73212375,Active,
73212448,Active,
73212452,Active,
73212524,Active,
73212595,Unspecified,
73213399,Active,
73213400,Active,
73213452,Active,
73212287,Active,
73212374,Active,
73212525,Active,
73212526,Active,
