PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
2756,Unspecified,
5325,Active,
2719,Active,
774,Active,
50287,Unspecified,
3634,Active,
3033637,Unspecified,
4046,Active,
2247,Active,
13342,Active,
5702160,Unspecified,
359323,Active,
64927,Active,
164435,Active,
65999,Active,
79729,Active,
2466,Active,
441336,Active,
14957,Active,
74989,Active,
4747,Active,
9820,Active,
9410,Active,
135565707,Active,
90454,Active,
6239,Active,
452550,Active,
2846972,Active,
2903301,Active,
2914547,Active,
2846340,Active,
114771,Active,
2903171,Active,
2903111,Active,
2903255,Active,
32798,Active,
73334,Active,
5702295,Active,
137630036,Active,
10236521,Active,
21127119,Active,
137630035,Active,
11957564,Active,
53317379,Active,
52933525,Active,
52933524,Active,
52933526,Active,
52933529,Active,
52933527,Active,
135980484,Active,
2870785,Active,
53317761,Active,
53317762,Active,
53317763,Unspecified,
24101046,Active,
52933523,Active,
52933528,Active,
52933281,Active,
52933530,Active,
52934003,Active,
23763528,Active,
3040199,Active,
53320389,Active,
52934002,Active,
23741730,Active,
2903181,Active,
2880627,Active,
53320390,Active,
19895458,Active,
134778,Active,
52934004,Active,
53321699,Active,
53321700,Active,
18974811,Active,
784035,Active,
52933522,Active,
135980482,Active,
53324380,Active,
2846415,Active,
161104,Active,
53325241,Active,
52933280,Active,
135980483,Active,
17159289,Active,
3792364,Active,
784405,Active,
52933283,Active,
70682892,Active,
5978,Active,
47909,Unspecified,
6917864,Active,
10221470,Active,
16211610,Active,
656862,Active,
