PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
3385,Unspecified,
119034,Unspecified,
118712604,Unspecified,
118712605,Unspecified,
118712606,Unspecified,
118712607,Unspecified,
118712608,Unspecified,
118712609,Unspecified,
118712610,Unspecified,
118712611,Unspecified,
118712612,Unspecified,
118712613,Unspecified,
118712614,Unspecified,
118712615,Unspecified,
118712616,Unspecified,
118712617,Unspecified,
118712618,Unspecified,
118712619,Unspecified,
118712620,Unspecified,
118712621,Unspecified,
118712622,Unspecified,
118712623,Unspecified,
