PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
4122,Active,
3385,Active,
703492,Active,
555820,Active,
700989,Active,
792340,Active,
7996519,Active,
122189069,Active,
122189070,Active,
122189071,Active,
122189072,Active,
122189073,Active,
122189074,Active,
122189075,Active,
122189076,Active,
122189077,Active,
122189078,Active,
122189079,Active,
122189080,Active,
122189081,Active,
122189082,Active,
122189083,Active,
122189084,Active,
122189085,Active,
122189086,Active,
122189087,Active,
122189088,Active,
122189089,Active,
122189090,Active,
122189091,Active,
122189092,Active,
122189093,Active,
122189094,Active,
122189095,Active,
122189096,Active,
122189097,Active,
122189098,Active,
122189099,Active,
122189100,Active,
122189101,Active,
122189102,Active,
122189103,Active,
122189104,Active,
122189105,Active,
122189106,Active,
122189107,Active,
