PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
118737002,Active,
118737004,Active,
118737006,Active,
118737008,Active,
118737010,Active,
118737012,Active,
118737014,Active,
118737016,Active,
118737018,Active,
118737020,Active,
118737022,Active,
118737024,Unspecified,
118737026,Active,
118737028,Unspecified,
118737030,Unspecified,
118737032,Unspecified,
118737034,Unspecified,
118737036,Unspecified,
118737038,Unspecified,
118737040,Unspecified,
118737042,Active,
118737044,Unspecified,
118737046,Unspecified,
