PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
31593,Unspecified,
3599,Inconclusive,
134131693,Unspecified,
134132947,Unspecified,
134134004,Inconclusive,
134135672,Unspecified,
11374676,Unspecified,
134137834,Unspecified,
134138614,Unspecified,
134138732,Unspecified,
134140136,Inconclusive,
134141662,Unspecified,
134142085,Inconclusive,
134143123,Unspecified,
134143783,Unspecified,
134144012,Unspecified,
134145662,Unspecified,
10596830,Inconclusive,
134151797,Unspecified,
15386544,Unspecified,
