PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
76307875,Unspecified,
76307875,Unspecified,
24861946,Active,
24861946,Active,
76311444,Active,
76311444,Active,
76311456,Unspecified,
76311456,Unspecified,
24861993,Active,
24861993,Active,
24861994,Unspecified,
24861994,Unspecified,
76311457,Unspecified,
76311457,Unspecified,
76311458,Unspecified,
76311458,Unspecified,
24861947,Active,
24861947,Active,
24861989,Active,
24861989,Active,
76318680,Active,
76318680,Active,
24861944,Active,
24861944,Active,
24861988,Unspecified,
24861988,Unspecified,
76320074,Unspecified,
76320074,Unspecified,
24861889,Unspecified,
24861889,Unspecified,
24861891,Active,
24861891,Active,
24861892,Unspecified,
24861892,Unspecified,
