PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
123631,Active,
216239,Active,
127038096,Active,
127038097,Active,
127038447,Active,
127038448,Active,
127038448,Unspecified,
127038448,Unspecified,
127038449,Active,
127038450,Active,
127038460,Active,
127038461,Active,
127038462,Unspecified,
127038838,Active,
127038839,Active,
127039073,Active,
127039782,Active,
127039783,Active,
127039784,Active,
127039785,Active,
127039788,Active,
127039789,Active,
127039790,Active,
127039791,Active,
127039796,Unspecified,
127039797,Active,
127039798,Active,
127040130,Active,
127040137,Active,
127040138,Unspecified,
127040139,Unspecified,
127040145,Active,
