PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5284373,Unspecified,
118709278,Unspecified,
118709279,Unspecified,
118709296,Unspecified,
118709297,Unspecified,
118709298,Unspecified,
118709299,Unspecified,
118709300,Unspecified,
118709301,Unspecified,
118709302,Unspecified,
118709303,Unspecified,
118709304,Unspecified,
118709305,Unspecified,
118709306,Unspecified,
118709307,Unspecified,
118709308,Unspecified,
118709309,Unspecified,
118709310,Unspecified,
118709311,Unspecified,
118709312,Unspecified,
118709313,Unspecified,
118709314,Unspecified,
118709315,Unspecified,
118709316,Unspecified,
118709317,Unspecified,
118709318,Unspecified,
