AID: 465212	Substance BioActivity: 18 Active, 8 Activity <= 1 µM, 28 Tested
AID: 647313	Substance BioActivity: 19 Active, 1 Activity <= 1 µM, 28 Tested
AID: 608127	Substance BioActivity: 23 Active, 27 Tested
AID: 1300947	Substance BioActivity: 8 Active, 27 Tested
AID: 1300948	Substance BioActivity: 13 Active, 27 Tested
AID: 1300949	Substance BioActivity: 14 Active, 27 Tested
AID: 1300950	Substance BioActivity: 10 Active, 27 Tested
AID: 1300951	Substance BioActivity: 8 Active, 27 Tested
AID: 407933	Substance BioActivity: 25 Active, 24 Activity <= 1 µM, 26 Tested
AID: 465213	Substance BioActivity: 26 Tested
AID: 465214	Substance BioActivity: 26 Tested
AID: 635948	Substance BioActivity: 26 Tested
AID: 635949	Substance BioActivity: 26 Tested
AID: 635950	Substance BioActivity: 26 Tested
AID: 635951	Substance BioActivity: 26 Tested
AID: 635952	Substance BioActivity: 26 Tested
AID: 635953	Substance BioActivity: 26 Tested
AID: 635954	Substance BioActivity: 26 Tested
AID: 635955	Substance BioActivity: 26 Tested
AID: 635957	Substance BioActivity: 26 Tested
AID: 1162205	Substance BioActivity: 12 Active, 26 Tested
AID: 1162206	Substance BioActivity: 13 Active, 26 Tested
AID: 1162207	Substance BioActivity: 11 Active, 26 Tested
AID: 1162208	Substance BioActivity: 17 Active, 26 Tested
AID: 1162209	Substance BioActivity: 19 Active, 1 Activity <= 1 µM, 26 Tested
AID: 1162210	Substance BioActivity: 7 Active, 26 Tested
AID: 1185178	Substance BioActivity: 26 Tested
AID: 635956	Substance BioActivity: 25 Tested
AID: 756744	Substance BioActivity: 25 Tested
AID: 1242126	Substance BioActivity: 23 Active, 2 Activity <= 1 µM, 25 Tested
AID: 1242127	Substance BioActivity: 22 Active, 2 Activity <= 1 µM, 25 Tested
AID: 1242128	Substance BioActivity: 21 Active, 25 Tested
AID: 1242129	Substance BioActivity: 22 Active, 25 Tested
AID: 1322997	Substance BioActivity: 25 Tested
AID: 1322998	Substance BioActivity: 25 Tested
AID: 1322999	Substance BioActivity: 25 Tested
AID: 1323000	Substance BioActivity: 25 Tested
AID: 1323001	Substance BioActivity: 25 Tested
AID: 1187274	Substance BioActivity: 13 Active, 24 Tested
AID: 1187275	Substance BioActivity: 9 Active, 24 Tested
AID: 1187276	Substance BioActivity: 21 Active, 24 Tested
AID: 1187277	Substance BioActivity: 13 Active, 24 Tested
AID: 144480	Substance BioActivity: 23 Active, 12 Activity <= 1 nM, 20 Activity <= 1 µM, 23 Tested
AID: 144499	Substance BioActivity: 23 Active, 14 Activity <= 1 nM, 23 Activity <= 1 µM, 23 Tested
AID: 233953	Substance BioActivity: 23 Tested
AID: 234417	Substance BioActivity: 23 Tested
AID: 1206146	Substance BioActivity: 16 Active, 23 Tested
AID: 1206147	Substance BioActivity: 7 Active, 23 Tested
AID: 1206148	Substance BioActivity: 13 Active, 23 Tested
AID: 1206149	Substance BioActivity: 11 Active, 23 Tested
AID: 1310407	Substance BioActivity: 8 Active, 23 Tested
AID: 1310408	Substance BioActivity: 8 Active, 23 Tested
AID: 1310409	Substance BioActivity: 6 Active, 23 Tested
AID: 1310410	Substance BioActivity: 8 Active, 23 Tested
AID: 1310411	Substance BioActivity: 2 Active, 23 Tested
AID: 249983	Substance BioActivity: 22 Active, 22 Tested
AID: 251313	Substance BioActivity: 22 Active, 22 Activity <= 1 µM, 22 Tested
AID: 251314	Substance BioActivity: 22 Active, 22 Tested
AID: 267787	Substance BioActivity: 10 Active, 1 Activity <= 1 µM, 22 Tested
AID: 1161321	Substance BioActivity: 21 Active, 22 Tested
AID: 1161322	Substance BioActivity: 20 Active, 22 Tested
AID: 1161323	Substance BioActivity: 19 Active, 22 Tested
AID: 1161324	Substance BioActivity: 21 Active, 22 Tested
AID: 1161325	Substance BioActivity: 17 Active, 22 Tested
AID: 1161326	Substance BioActivity: 22 Tested
AID: 1185483	Substance BioActivity: 15 Active, 1 Activity <= 1 µM, 22 Tested
AID: 1185484	Substance BioActivity: 20 Active, 1 Activity <= 1 µM, 22 Tested
AID: 1185485	Substance BioActivity: 18 Active, 22 Tested
AID: 1185486	Substance BioActivity: 19 Active, 22 Tested
AID: 1185487	Substance BioActivity: 14 Active, 22 Tested
AID: 1185488	Substance BioActivity: 12 Active, 22 Tested
AID: 1185489	Substance BioActivity: 20 Active, 22 Tested
AID: 1247276	Substance BioActivity: 18 Active, 22 Tested
AID: 1247277	Substance BioActivity: 17 Active, 22 Tested
AID: 1247278	Substance BioActivity: 13 Active, 22 Tested
AID: 1247279	Substance BioActivity: 14 Active, 22 Tested
AID: 1076716	Substance BioActivity: 21 Active, 21 Tested
AID: 1076717	Substance BioActivity: 20 Active, 21 Tested
AID: 1076718	Substance BioActivity: 20 Active, 21 Tested
AID: 1076719	Substance BioActivity: 18 Active, 21 Tested
AID: 1076720	Substance BioActivity: 20 Active, 21 Tested
AID: 1076721	Substance BioActivity: 20 Active, 21 Tested
AID: 1267538	Substance BioActivity: 21 Tested
AID: 1267539	Substance BioActivity: 21 Tested
AID: 1267540	Substance BioActivity: 21 Tested
AID: 1267541	Substance BioActivity: 21 Tested
AID: 1335666	Substance BioActivity: 10 Active, 21 Tested
AID: 1335667	Substance BioActivity: 7 Active, 21 Tested
AID: 1335668	Substance BioActivity: 3 Active, 21 Tested
AID: 1335669	Substance BioActivity: 3 Active, 21 Tested
AID: 1335670	Substance BioActivity: 9 Active, 21 Tested
AID: 1335671	Substance BioActivity: 7 Active, 21 Tested
AID: 1335672	Substance BioActivity: 2 Active, 21 Tested
AID: 346042	Substance BioActivity: 14 Active, 5 Activity <= 1 µM, 20 Tested
AID: 526315	Substance BioActivity: 20 Tested
AID: 1178002	Substance BioActivity: 18 Active, 8 Activity <= 1 µM, 20 Tested
AID: 1178003	Substance BioActivity: 17 Active, 7 Activity <= 1 µM, 20 Tested
AID: 1178004	Substance BioActivity: 17 Active, 8 Activity <= 1 µM, 20 Tested
AID: 1178005	Substance BioActivity: 17 Active, 6 Activity <= 1 µM, 20 Tested
AID: 1329376	Substance BioActivity: 12 Active, 1 Activity <= 1 µM, 20 Tested
AID: 1329377	Substance BioActivity: 7 Active, 20 Tested
AID: 1329378	Substance BioActivity: 10 Active, 1 Activity <= 1 µM, 20 Tested
