PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
104179830,Inactive,
104179946,Inactive,
104179954,Inactive,
104179991,Inactive,
104180048,Inactive,
104180053,Inactive,
104180217,Inactive,
104180327,Inactive,
104180366,Active,3.0
104180413,Active,3.0
104180593,Inactive,
104180624,Inactive,
104180802,Inactive,
104180872,Inactive,
104180880,Inactive,
104180954,Inactive,
104180968,Inactive,
104181028,Inactive,
104181076,Inactive,
104181088,Inactive,
104181089,Inactive,
104181091,Inactive,
104181128,Inactive,
104181167,Inactive,
104181205,Inactive,
104181244,Inactive,
104181387,Inactive,
104181487,Inactive,
104181491,Inactive,
104181590,Inactive,
104181744,Active,3.0
104181762,Inactive,
104182180,Inactive,
104182193,Inactive,
104182250,Inactive,
104182259,Inactive,
104182327,Inactive,
104182349,Inactive,
104182395,Inactive,
104182666,Inactive,
104182706,Inactive,
104182714,Inactive,
104182801,Inactive,
104182993,Inactive,
104183006,Active,3.0
104183088,Inactive,
104183110,Active,3.0
104183120,Inactive,
104183155,Inactive,
104183197,Inactive,
104183208,Inactive,
104183270,Inactive,
104183294,Inactive,
104183307,Inactive,
104183326,Inactive,
104183338,Inactive,
104183471,Inactive,
104183549,Inactive,
104183552,Inactive,
104183682,Active,3.0
104183684,Active,3.0
104183834,Inactive,
104183874,Inactive,
104183888,Inactive,
104184097,Inactive,
104184214,Inactive,
104184416,Inactive,
104184436,Inactive,
104184459,Inactive,
104184468,Inactive,
104184470,Inactive,
104184488,Inactive,
104184489,Active,3.0
104184500,Inactive,
104184507,Active,3.0
104184512,Inactive,
104184700,Inactive,
104184736,Inactive,
104184805,Inactive,
104184931,Inactive,
104185001,Inactive,
104185017,Inactive,
104185051,Inactive,
104185089,Inactive,
104185152,Inactive,
104185217,Inactive,
104185260,Inactive,
104185293,Inactive,
104185345,Inactive,
104185415,Inactive,
104185507,Inactive,
104185561,Inactive,
104185584,Inactive,
104185645,Inactive,
104185775,Inactive,
104185851,Inactive,
104185910,Inactive,
104185919,Inactive,
104185945,Inactive,
104186004,Inactive,
104186011,Inactive,
104186019,Inactive,
104186058,Inactive,
104186084,Inactive,
104186104,Inactive,
104186135,Inactive,
104186145,Inactive,
104186147,Inactive,
104186233,Inactive,
104186257,Inactive,
104186259,Inactive,
104186266,Inactive,
104186267,Inactive,
104186352,Inactive,
104186534,Inactive,
104186547,Inactive,
104186655,Inactive,
104186763,Inactive,
104186883,Inactive,
104186951,Inactive,
104187019,Inactive,
104187094,Inactive,
104187136,Inactive,
104187232,Inactive,
104187251,Active,3.0
104187293,Inactive,
104187306,Inactive,
104187307,Inactive,
104187308,Inactive,
104187309,Inactive,
104187331,Inactive,
104187350,Inactive,
104187388,Active,3.0
104187440,Inactive,
104187442,Inactive,
104187452,Active,3.0
104187460,Inactive,
104187469,Inactive,
104187484,Inactive,
104187485,Inactive,
104187724,Inactive,
104187730,Inactive,
104187792,Inactive,
104187855,Inactive,
104187872,Inactive,
104187912,Inactive,
104188027,Inactive,
104188055,Inactive,
104188117,Active,3.0
104188125,Inactive,
104188156,Inactive,
104188171,Inactive,
104188172,Inactive,
104188202,Inactive,
104188226,Inactive,
104188229,Inactive,
104188232,Inactive,
104188385,Inactive,
104188495,Inactive,
104188498,Inactive,
104188528,Inactive,
104188540,Inactive,
104188562,Inactive,
104188564,Inactive,
104188592,Inactive,
104188597,Inactive,
104188688,Inactive,
104188689,Inactive,
104188711,Inactive,
104188765,Inactive,
104188770,Inactive,
104188783,Inactive,
104188792,Active,3.0
104188839,Inactive,
104188861,Inactive,
104188868,Inactive,
104188869,Inactive,
104188953,Inactive,
104189022,Inactive,
104189055,Inactive,
104189092,Inactive,
104189146,Inactive,
104189766,Inactive,
104189824,Inactive,
104189826,Inactive,
104189833,Inactive,
104189879,Inactive,
104189949,Inactive,
104189984,Inactive,
104189995,Inactive,
104190060,Inactive,
104190067,Inactive,
104190072,Inactive,
104190077,Inactive,
104190122,Inactive,
104190127,Inactive,
104190171,Inactive,
104190177,Inactive,
104190186,Inactive,
104190244,Inactive,
104190302,Inactive,
104190308,Inactive,
104190432,Inactive,
104190488,Inactive,
104190508,Inactive,
104190531,Inactive,
104190754,Inactive,
104190757,Inactive,
104190769,Inactive,
104190808,Inactive,
104190833,Inactive,
104190841,Inactive,
104190916,Inactive,
104190974,Inactive,
104191067,Inactive,
104191114,Inactive,
104191136,Inactive,
104191147,Inactive,
104191196,Inactive,
104191465,Inactive,
104191479,Inactive,
104191495,Inactive,
104191496,Inactive,
104191511,Inactive,
104191531,Inactive,
104191605,Inactive,
104191608,Active,3.0
104191629,Inactive,
104191656,Inactive,
104191687,Inactive,
104191887,Inactive,
104191978,Inactive,
104192030,Inactive,
104192055,Inactive,
104192166,Inactive,
104192239,Inactive,
104192292,Inactive,
104192330,Inactive,
104192396,Inactive,
104192414,Active,3.0
104192415,Inactive,
104192458,Inactive,
104192515,Inactive,
104192580,Inactive,
104192588,Inactive,
104192630,Inactive,
104192650,Inactive,
104192788,Inactive,
104192809,Inactive,
104192845,Inactive,
104192887,Inactive,
104192891,Inactive,
104192966,Inactive,
104192982,Inactive,
104193063,Inactive,
104193090,Inactive,
104193301,Inactive,
104193322,Inactive,
104193411,Inactive,
104193432,Inactive,
104193462,Inactive,
104193523,Inactive,
104193529,Inactive,
104193532,Inactive,
104193583,Inactive,
104193784,Inactive,
104193897,Inactive,
104193936,Inactive,
104194068,Inactive,
104194125,Inactive,
104194139,Inactive,
104194170,Inactive,
104194252,Inactive,
104194263,Inactive,
104194275,Inactive,
104194307,Inactive,
104194318,Inactive,
104194350,Inactive,
104194364,Inactive,
104194459,Inactive,
104194462,Inactive,
104194466,Inactive,
104194486,Inactive,
104194514,Inactive,
104194551,Inactive,
104194554,Inactive,
104194578,Inactive,
104194579,Inactive,
104194613,Inactive,
104194618,Inactive,
104194653,Inactive,
104194663,Inactive,
104194689,Inactive,
104194745,Inactive,
104194749,Inactive,
104194758,Inactive,
104194763,Inactive,
104194774,Inactive,
104194788,Inactive,
104194794,Inactive,
104194837,Inactive,
104194840,Inactive,
104194897,Inactive,
104194944,Inactive,
104194957,Inactive,
104195014,Inactive,
104195039,Inactive,
104195074,Inactive,
104195103,Inactive,
104195162,Inactive,
104195359,Active,3.0
104195458,Active,3.0
104195493,Inactive,
104195505,Inactive,
104195516,Active,3.0
104195600,Inactive,
104195632,Inactive,
104195655,Inactive,
104195797,Inactive,
104195810,Inactive,
104195881,Inactive,
104195970,Inactive,
104196017,Inactive,
104196049,Inactive,
104196129,Inactive,
104196265,Inactive,
104196276,Inactive,
104196377,Inactive,
104196453,Inactive,
104196460,Active,3.0
104196486,Inactive,
104196492,Inactive,
104196503,Inactive,
104196529,Inactive,
104196590,Inactive,
104196623,Inactive,
104196634,Inactive,
104196689,Inactive,
104196691,Inactive,
104196702,Inactive,
104196718,Inactive,
104196743,Inactive,
104196756,Inactive,
104196783,Inactive,
104196813,Inactive,
104196820,Inactive,
104196821,Inactive,
104196847,Inactive,
104196860,Inactive,
104196881,Inactive,
104196888,Inactive,
104196939,Inactive,
104197017,Inactive,
104197040,Inactive,
104197099,Active,3.0
104197186,Inactive,
104197264,Active,3.0
104197265,Inactive,
104197280,Inactive,
104197298,Inactive,
104197324,Inactive,
104197346,Inactive,
104197380,Inactive,
104197404,Inactive,
104197407,Inactive,
104197434,Inactive,
104197515,Inactive,
104197535,Inactive,
104197540,Inactive,
104197572,Inactive,
104197585,Inactive,
104197586,Inactive,
104197627,Inactive,
104197635,Inactive,
104197666,Inactive,
104197684,Inactive,
104197718,Inactive,
104197720,Inactive,
104197725,Inactive,
104197794,Inactive,
104197795,Inactive,
104197809,Active,3.0
104197817,Inactive,
104197818,Inactive,
104197830,Inactive,
104197834,Inactive,
104197844,Inactive,
104197845,Inactive,
104197881,Inactive,
104197908,Inactive,
104197911,Inactive,
104197927,Inactive,
104198064,Inactive,
104198141,Inactive,
104198142,Inactive,
104198175,Inactive,
104198181,Inactive,
104198238,Inactive,
104198287,Inactive,
104198308,Inactive,
104198424,Inactive,
104198499,Inactive,
104198505,Inactive,
104198512,Inactive,
104198536,Inactive,
104198537,Inactive,
104198574,Inactive,
104198591,Active,3.0
104198593,Inactive,
104198602,Inactive,
104198611,Inactive,
104198652,Inactive,
104198678,Inactive,
104198687,Inactive,
104198745,Inactive,
104198755,Inactive,
104198791,Inactive,
104198793,Inactive,
104198821,Inactive,
104198875,Inactive,
104198910,Inactive,
104199000,Inactive,
104199006,Inactive,
104199037,Inactive,
104199059,Inactive,
104199061,Inactive,
104199116,Inactive,
104199127,Inactive,
104199142,Inactive,
104199218,Inactive,
104199227,Inactive,
104199233,Active,3.0
104199250,Inactive,
104199287,Inactive,
104199288,Inactive,
104199347,Inactive,
104199429,Inactive,
104199444,Inactive,
104199453,Inactive,
104199464,Inactive,
104199498,Inactive,
104199510,Inactive,
104199655,Inactive,
104199694,Inactive,
104199748,Inactive,
104199759,Inactive,
104199915,Inactive,
104199999,Inactive,
104200023,Inactive,
104200066,Inactive,
104200075,Inactive,
104200080,Inactive,
104200090,Inactive,
104200107,Inactive,
104200133,Inactive,
104200156,Inactive,
104200159,Inactive,
104200160,Active,3.0
104200243,Inactive,
104200265,Inactive,
104200318,Inactive,
104200472,Inactive,
104201038,Inactive,
104201039,Inactive,
104201040,Inactive,
104201056,Inactive,
104201059,Inactive,
104201118,Inactive,
104201140,Inactive,
104201145,Inactive,
104201288,Inactive,
104201291,Inactive,
104201393,Inactive,
104201474,Inactive,
104201630,Inactive,
104201671,Inactive,
104201696,Inactive,
104201726,Inactive,
104201752,Active,3.0
104201763,Inactive,
104201781,Inactive,
104201787,Inactive,
104201789,Inactive,
104201824,Inactive,
104201827,Inactive,
104201946,Inactive,
104201954,Inactive,
104202007,Inactive,
104202024,Inactive,
104202026,Inactive,
104202039,Inactive,
104202053,Inactive,
104202056,Inactive,
104202147,Inactive,
