PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
160713784,Inactive,0
160713785,Inactive,0
160713786,Inactive,0
160713787,Inactive,0
160713788,Inactive,0
160713789,Inactive,0
160713790,Inactive,0
160713791,Inactive,0
160713792,Inactive,0
160713793,Inactive,0
160713794,Inactive,0
160713795,Inactive,0
160713796,Inactive,0
160713797,Inactive,0
160713798,Inactive,0
160713799,Inactive,0
160713800,Inactive,0
160713801,Active,100
160713802,Active,100
160713803,Inactive,0
160713804,Active,100
160713805,Inactive,0
160713806,Inactive,0
160713807,Inactive,0
160713808,Inactive,0
160713809,Inactive,0
160713810,Inactive,0
160713811,Inactive,0
160713812,Inactive,0
160713813,Inactive,0
160713814,Inactive,0
160713815,Active,100
160713816,Inactive,0
160713817,Active,100
160713818,Inactive,0
160713819,Inactive,0
160713820,Active,100
160713821,Inactive,0
160713822,Inactive,0
160713823,Active,100
160713824,Inactive,0
160713825,Active,100
160713826,Inactive,0
160713827,Inactive,0
160713828,Inactive,0
160713829,Inactive,0
160713830,Inactive,0
160713831,Inactive,0
160713832,Inactive,0
160713833,Active,100
160713834,Inactive,0
160713835,Inactive,0
160713836,Inactive,0
160713837,Inactive,0
160713838,Active,100
160713839,Inactive,0
160713840,Inactive,0
160713841,Inactive,0
160713842,Inactive,0
160713843,Active,100
160713844,Inactive,0
160713845,Inactive,0
160713846,Inactive,0
160713847,Inactive,0
160713848,Inactive,0
160713849,Inactive,0
160713850,Inactive,0
160713851,Inactive,0
160713852,Inactive,0
160713853,Inactive,0
160713854,Inactive,0
160713855,Inactive,0
160713856,Inactive,0
160713857,Inactive,0
160713858,Active,100
160713859,Inactive,0
160713860,Inactive,0
160713861,Inactive,0
160713862,Inactive,0
160713863,Inactive,0
160713864,Inactive,0
160713865,Inactive,0
160713866,Inactive,0
160713867,Inactive,0
160713868,Inactive,0
160713869,Inactive,0
160713870,Inactive,0
160713871,Inactive,0
160713872,Inactive,0
160713873,Inactive,0
160713874,Active,100
160713875,Inactive,0
160713876,Inactive,0
160713877,Inactive,0
160713878,Inactive,0
160713879,Inactive,0
160713880,Inactive,0
160713881,Inactive,0
160713882,Inactive,0
