PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
56479145,Inactive,0
56479147,Inactive,0
56479154,Inactive,0
56479155,Inactive,0
56479157,Inactive,0
56479158,Inactive,0
56479159,Inactive,0
56479162,Inactive,0
56479164,Inactive,0
56479165,Inactive,0
56479166,Inactive,0
56479167,Inactive,0
56479172,Inactive,0
56479176,Inactive,0
56479179,Inactive,0
56479182,Inactive,0
56479183,Inactive,0
56479184,Active,100
56479185,Inactive,0
56479189,Inactive,0
56479191,Inactive,0
56479192,Inactive,0
56479194,Inactive,0
56479195,Inactive,0
56479199,Inactive,0
56479205,Inactive,0
56479207,Inactive,0
56479212,Inactive,0
56479213,Inactive,0
56479215,Inactive,0
56479217,Inactive,0
56479218,Inactive,0
56479219,Inactive,0
56479220,Inactive,0
56479223,Inactive,0
56479224,Inactive,0
56479229,Inactive,0
56479231,Inactive,0
56479232,Inactive,0
56479234,Inactive,0
56479235,Inactive,0
56479236,Inactive,0
56479237,Inactive,0
56479239,Inactive,0
56479241,Inactive,0
56479243,Inactive,0
56479245,Inactive,0
56479247,Inactive,0
56479250,Inactive,0
56479254,Inactive,0
56479255,Inactive,0
56479257,Inactive,0
56479258,Inactive,0
56479259,Inactive,0
56479260,Inactive,0
56479267,Inactive,0
56479268,Active,100
56479269,Inactive,0
56479270,Inactive,0
56479273,Active,100
56479275,Inactive,0
56479276,Inactive,0
56479277,Inactive,0
56479278,Inactive,0
56479279,Inactive,0
56479281,Inactive,0
56479284,Inactive,0
56479288,Inactive,0
56479292,Inactive,0
56479293,Inactive,0
56479294,Inactive,0
56479297,Inactive,0
56479298,Inactive,0
56479299,Inactive,0
57288958,Inactive,0
134309811,Inactive,0
134309819,Inactive,0
134309823,Inactive,0
134309826,Inactive,0
134309827,Inactive,0
134309828,Active,100
134309829,Inactive,0
134309831,Inactive,0
134309837,Inactive,0
134309844,Inactive,0
134309845,Inactive,0
134309846,Inactive,0
134309847,Active,100
134309850,Inactive,0
134309854,Inactive,0
134309855,Inactive,0
134309856,Inactive,0
134309860,Inactive,0
134309864,Inactive,0
134309870,Inactive,0
134309873,Inactive,0
134309874,Inactive,0
134309877,Inactive,0
134309878,Active,100
134309880,Inactive,0
134309881,Inactive,0
134309883,Inactive,0
134309891,Inactive,0
134309893,Inactive,0
134309894,Inactive,0
134309895,Inactive,0
134309896,Inactive,0
134309900,Inactive,0
134309911,Inactive,0
134309914,Inactive,0
134309915,Inactive,0
134309920,Inactive,0
134309921,Inactive,0
134309924,Inactive,0
134309929,Active,100
134309930,Inactive,0
134309931,Inactive,0
134309932,Inactive,0
134309933,Inactive,0
134309935,Inactive,0
134309936,Inactive,0
134309938,Inactive,0
134309940,Inactive,0
134309945,Inactive,0
134309947,Inactive,0
134309949,Inactive,0
134309950,Inactive,0
134309953,Inactive,0
134309959,Inactive,0
134309960,Inactive,0
134309963,Inactive,0
134309965,Inactive,0
134309966,Inactive,0
134309967,Inactive,0
134309968,Inactive,0
134309971,Inactive,0
134309974,Inactive,0
134309977,Inactive,0
134309978,Inactive,0
134309982,Inactive,0
134309983,Inactive,0
134309984,Inactive,0
134309985,Inactive,0
134309991,Active,100
134309992,Inactive,0
134309995,Inactive,0
