PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
3385,Active,,O=c1[nH]cc(F)c(=O)[nH]1,1261136,False,O=c1cc[nH]c(=O)[nH]1,CC1CCCC(C)C1
127034600,Unspecified,,CCN1C(=O)C(O)(Cc2nn[nH]n2)c2ccccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127034825,Active,,O=C1N(Cc2ccc(Br)cc2)c2ccccc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035086,Active,,CN1C(=O)C(O)(Cc2nn[nH]n2)c2ccccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127035172,Unspecified,,CN1C(=O)C(O)(Cc2nn[nH]n2)c2cc(Cl)ccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127035331,Unspecified,,Cc1ccc2c(c1)C(O)(Cc1nn[nH]n1)C(=O)N2C,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127035382,Unspecified,,O=C1N(Cc2ccccc2)c2ccccc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035383,Unspecified,,CN1C(=O)C(O)(Cc2nn[nH]n2)c2cc(F)ccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127035384,Unspecified,,O=C1N(Cc2ccccc2)c2ccc(F)cc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035385,Active,,O=C1N(Cc2ccc(Br)cc2)c2ccc(F)cc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035386,Active,,CCN1C(=O)C(O)(Cc2nn[nH]n2)c2cc(Cl)ccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127035387,Unspecified,,O=C1N(Cc2ccccc2)c2ccc(Cl)cc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035559,Active,,O=C1N(Cc2ccc(Br)cc2)c2ccc(Cl)cc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035560,Unspecified,,CN1C(=O)C(O)(Cc2nn[nH]n2)c2cc(Br)ccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127035561,Unspecified,,CCN1C(=O)C(O)(Cc2nn[nH]n2)c2cc(Br)ccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
127035562,Active,,O=C1N(Cc2ccccc2)c2ccc(Br)cc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035563,Unspecified,,O=C1N(Cc2ccc(Br)cc2)c2ccc(Br)cc2C1(O)Cc1nn[nH]n1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127035746,Active,,Cc1ccc2c(c1)C(O)(Cc1nn[nH]n1)C(=O)N2Cc1ccccc1,1261136,False,O=C1C(Cc2nn[nH]n2)c2ccccc2N1Cc1ccccc1,CC1C(CC2CCCCC2)C2CCCCC2C1CC1CCCC1
127037065,Active,,CCN1C(=O)C(O)(Cc2nn[nH]n2)c2cc(C)ccc21,1261136,False,O=C1Nc2ccccc2C1Cc1nn[nH]n1,CC1CC2CCCCC2C1CC1CCCC1
