PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
31703,Active,,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1276752,False,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,CC1C2CCCCC2C(C)C2CC3C(CC4CCCCC4)CCCC3CC12
102099386,Active,,COc1ccc2c(c1)C1(Nc3ccccc3-n3cccc31)C(=O)N2,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
102099385,Active,,O=C1Nc2ccc([N+](=O)[O-])cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
102099388,Active,,O=C1N(Cc2ccccc2)c2ccccc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1N(Cc2ccccc2)c2ccccc2C12Nc1ccccc1-n1cccc12,CC1C(CC2CCCCC2)C2CCCCC2C12CC1CCCCC1C1CCCC12
127025594,Active,,O=C1N(Cc2ccccc2)c2ccc(Cl)cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1N(Cc2ccccc2)c2ccccc2C12Nc1ccccc1-n1cccc12,CC1C(CC2CCCCC2)C2CCCCC2C12CC1CCCCC1C1CCCC12
127025882,Active,,O=C1Nc2ccc(I)cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
102099384,Active,,O=C1Nc2ccc(Br)cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
127025883,Active,,O=C1Nc2ccc(Cl)cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
71814724,Active,,O=C1N(Cc2ccccc2)c2ccc(Br)cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1N(Cc2ccccc2)c2ccccc2C12Nc1ccccc1-n1cccc12,CC1C(CC2CCCCC2)C2CCCCC2C12CC1CCCCC1C1CCCC12
127025884,Active,,O=C1N(Cc2ccc3c(c2)OCO3)c2ccccc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1N(Cc2ccc3c(c2)OCO3)c2ccccc2C12Nc1ccccc1-n1cccc12,CC1C(CC2CCC3CCCC3C2)C2CCCCC2C12CC1CCCCC1C1CCCC12
127025885,Active,,O=C1N(Cc2ccc3c(c2)OCO3)c2ccc(Cl)cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1N(Cc2ccc3c(c2)OCO3)c2ccccc2C12Nc1ccccc1-n1cccc12,CC1C(CC2CCC3CCCC3C2)C2CCCCC2C12CC1CCCCC1C1CCCC12
127026175,Active,,O=C1Nc2c(F)cccc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
127026176,Active,,O=C1Nc2ccc(F)cc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
102099383,Active,,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
127026177,Active,,Cc1ccc2c(c1)C1(Nc3ccccc3-n3cccc31)C(=O)N2,1276752,False,O=C1Nc2ccccc2C12Nc1ccccc1-n1cccc12,CC1CC2CCCCC2C12CC1CCCCC1C1CCCC12
