PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
56665080,Active,,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](C(F)F)OC2=O)O1,727884,True,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
56665081,Active,,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](C(F)(F)F)OC2=O)O1,727884,True,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
56678764,Active,,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](CF)OC2=O)O1,727884,True,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
71560405,Active,,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@@H](C(F)(F)F)OC2=O)O1,727884,True,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
71560404,Active,,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@@H](C)OC2=O)O1,727884,True,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
11813755,Active,,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](C)OC2=O)O1,727884,True,O=C1OCC=C1CCCCCCCCCCCCCC1CCCO1,CC1CCCC1CCCCCCCCCCCCCC1CCCC1
