PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
71699537,Unspecified,,Cc1ccc(/C=C2\CN(C(=O)C(=O)N3C/C(=C\c4ccc(C)cc4)C(=O)/C(=C/c4ccc(C)cc4)C3)C/C(=C\c3ccc(C)cc3)C2=O)cc1,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)C(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC1C(CC2CCCCC2)CC(C(C)C(C)C2CC(CC3CCCCC3)C(C)C(CC3CCCCC3)C2)CC1CC1CCCCC1
71699612,Unspecified,,COc1ccc(/C=C2\CN(C(=O)C(=O)N3C/C(=C\c4ccc(OC)c(OC)c4)C(=O)/C(=C/c4ccc(OC)c(OC)c4)C3)C/C(=C\c3ccc(OC)c(OC)c3)C2=O)cc1OC,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)C(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC1C(CC2CCCCC2)CC(C(C)C(C)C2CC(CC3CCCCC3)C(C)C(CC3CCCCC3)C2)CC1CC1CCCCC1
73350499,Unspecified,,COc1ccc(/C=C2/CN(C(=O)CC(=O)N3C/C(=C\c4ccc(OC)c(OC)c4)C(=O)/C(=C/c4ccc(OC)c(OC)c4)C3)C/C(=C\c3ccc(OC)c(OC)c3)C2=O)cc1OC,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)CC(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC(CC(C)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1
71699538,Unspecified,,O=C1/C(=C/c2ccc(Cl)cc2)CN(C(=O)C(=O)N2C/C(=C\c3ccc(Cl)cc3)C(=O)/C(=C/c3ccc(Cl)cc3)C2)C/C1=C\c1ccc(Cl)cc1,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)C(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC1C(CC2CCCCC2)CC(C(C)C(C)C2CC(CC3CCCCC3)C(C)C(CC3CCCCC3)C2)CC1CC1CCCCC1
71699540,Unspecified,,O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)C(=O)N2C/C(=C\c3ccc(F)cc3)C(=O)/C(=C/c3ccc(F)cc3)C2)C/C1=C\c1ccc(F)cc1,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)C(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC1C(CC2CCCCC2)CC(C(C)C(C)C2CC(CC3CCCCC3)C(C)C(CC3CCCCC3)C2)CC1CC1CCCCC1
73352019,Unspecified,,O=C1/C(=C\c2ccccc2)CN(CCCN2C/C(=C\c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)C/C1=C\c1ccccc1,1178025,True,O=C1C(=Cc2ccccc2)CN(CCCN2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC1C(CC2CCCCC2)CC(CCCC2CC(CC3CCCCC3)C(C)C(CC3CCCCC3)C2)CC1CC1CCCCC1
73353478,Unspecified,,Cc1ccc(/C=C2/CN(C(=O)CC(=O)N3C/C(=C\c4ccc(C)cc4)C(=O)/C(=C/c4ccc(C)cc4)C3)C/C(=C\c3ccc(C)cc3)C2=O)cc1,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)CC(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC(CC(C)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1
71699611,Unspecified,,COc1ccc(/C=C2\CN(C(=O)C(=O)N3C/C(=C\c4ccc(OC)cc4)C(=O)/C(=C/c4ccc(OC)cc4)C3)C/C(=C\c3ccc(OC)cc3)C2=O)cc1,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)C(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC1C(CC2CCCCC2)CC(C(C)C(C)C2CC(CC3CCCCC3)C(C)C(CC3CCCCC3)C2)CC1CC1CCCCC1
73356538,Unspecified,,O=C1/C(=C\c2ccc(Cl)cc2)CN(C(=O)CC(=O)N2C/C(=C\c3ccc(Cl)cc3)C(=O)/C(=C/c3ccc(Cl)cc3)C2)C/C1=C\c1ccc(Cl)cc1,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)CC(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC(CC(C)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1
73356539,Unspecified,,O=C1/C(=C\c2ccc(F)cc2)CN(C(=O)CC(=O)N2C/C(=C\c3ccc(F)cc3)C(=O)/C(=C/c3ccc(F)cc3)C2)C/C1=C\c1ccc(F)cc1,1178025,True,O=C1C(=Cc2ccccc2)CN(C(=O)CC(=O)N2CC(=Cc3ccccc3)C(=O)C(=Cc3ccccc3)C2)CC1=Cc1ccccc1,CC(CC(C)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1)C1CC(CC2CCCCC2)C(C)C(CC2CCCCC2)C1
