PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
2756,Unspecified,,CN=C(NC#N)NCCSCc1nc[nH]c1C,576507,False,c1c[nH]cn1,C1CCCC1
5325,Active,,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,576507,False,O=S(=O)(Nc1ncccn1)c1ccccc1,CC(C)(CC1CCCCC1)C1CCCCC1
2719,Active,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,576507,False,c1ccc2ncccc2c1,C1CCC2CCCCC2C1
774,Active,,NCCc1cnc[nH]1,576507,False,c1c[nH]cn1,C1CCCC1
50287,Unspecified,,CN=C(NC#N)NCCSCc1csc(N=C(N)N)n1,576507,False,c1cscn1,C1CCCC1
3634,Active,,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,576507,False,O=c1c2ccccc2sc2ccccc12,CC1C2CCCCC2CC2CCCCC21
3033637,Unspecified,,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,576507,False,c1cscn1,C1CCCC1
4046,Active,,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,576507,False,c1ccc2c(CC3CCCCN3)ccnc2c1,C1CCC(CC2CCCC3CCCCC32)CC1
2247,Active,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,576507,False,c1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccccc3)CC2)cc1,C1CCC(CCC2CCC(CC3CC4CCCCC4C3CC3CCCCC3)CC2)CC1
13342,Active,,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,576507,False,C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,C1CC2CCC3C4CCCCC4CC3C(C3CCC4CC5CCC6CCCC7CCC5(C4C3)C67)CC(C1)C2
5702160,Unspecified,,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,576507,False,c1cscn1,C1CCCC1
359323,Active,,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO,576507,False,c1ccc(OCCCCCOc2ccccc2)cc1,C(CCCC1CCCCC1)CCCC1CCCCC1
64927,Active,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,576507,False,c1ccc2ncccc2c1,C1CCC2CCCCC2C1
164435,Active,,N#CNC(=NCCCOc1cccc(CN2CCCCC2)c1)NCCNC(=O)c1ccc(N)cc1,576507,False,O=C(NCCNC=NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1,CC(CCCCCCCCCCC1CCCC(CC2CCCCC2)C1)C1CCCCC1
65999,Active,,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,576507,False,c1ccc(-c2ccc(Cn3cnc4ccc(-c5nc6ccccc6[nH]5)cc43)cc2)cc1,C1CCC(C2CCC(CC3CCC4CCC(C5CC6CCCCC6C5)CC43)CC2)CC1
79729,Active,,Fc1ccc(C(CCCN2CCNCC2)c2ccc(F)cc2)cc1,576507,False,c1ccc(C(CCCN2CCNCC2)c2ccccc2)cc1,C1CCC(CCCC(C2CCCCC2)C2CCCCC2)CC1
2466,Active,,CCCCOc1ccc(CC(=O)NO)cc1,576507,False,c1ccccc1,C1CCCCC1
441336,Active,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,576507,True,O=C1C=CC2C(=C1)CCC1C2CCC2C(OC(=O)c3ccco3)CCC21,CC1CCC2C(CCC3C2CCC2C(CC(C)C4CCCC4)CCC23)C1
14957,Active,,CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,576507,False,O=C1CCCOC(=O)C(NC(=O)c2ccccc2)CO1,CC1CCCCC(C)C(CC(C)C2CCCCC2)CC1
74989,Active,,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,576507,True,O=C1C(=O)c2ccccc2C=C1C1CCC(c2ccccc2)CC1,CC1C(C)C(C2CCC(C3CCCCC3)CC2)CC2CCCCC21
4747,Active,,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,576507,False,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCCCC1,C1CCC(CCCC2C3CCCCC3CC3CCCCC32)CC1
9820,Active,,C=CC[N+](C)(C)c1ccc(CCC(=O)CCc2ccc([N+](C)(C)CC=C)cc2)cc1,576507,False,O=C(CCc1ccccc1)CCc1ccccc1,CC(CCC1CCCCC1)CCC1CCCCC1
9410,Active,,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,576507,False,c1ccc2c(c1)CC1NCCc3cccc-2c31,C1CCC2C(C1)CC1CCCC3CCCC2C31
135565707,Active,,CCN(c1nc(N)c(C(=O)NC(=N)N)nc1Cl)C(C)C,576507,False,c1cnccn1,C1CCCCC1
90454,Active,,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,576507,False,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,C1CCC2C(C1)CCCC2CC1CC2CCC1CC2
6239,Active,,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,576507,False,c1ccc2nc3ccccc3cc2c1,C1CCC2CC3CCCCC3CC2C1
452550,Active,,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,576507,False,O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)NCC(=O)NCC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)CN1,CC1CCC(C)CCC(C)C(CC2CCCCC2)CCC(C)CCC(C)C(CC2CCCCC2)CC(C)C(CC2CCCCC2)CC(C)C2CCCC2C(C)C(CC2CCCCC2)CC(C)CC1
2846972,Active,,CC(=O)N(C1=C(N(C)C)C(=O)c2ccccc2C1=O)c1ccc(Cl)cc1,576507,True,O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,CC1CC(CC2CCCCC2)C(C)C2CCCCC12
2903301,Active,,CC(=O)N(C1=C(N2CCCCC2)C(=O)c2ccccc2C1=O)c1cccc(Cl)c1,576507,True,O=C1C(Nc2ccccc2)=C(N2CCCCC2)C(=O)c2ccccc21,CC1C2CCCCC2C(C)C(C2CCCCC2)C1CC1CCCCC1
2914547,Active,,CC(=O)N(C1=C(N(C)C)C(=O)c2ccccc2C1=O)c1cccc(F)c1,576507,True,O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,CC1CC(CC2CCCCC2)C(C)C2CCCCC12
2846340,Active,,CCCN1CCC(NC(c2ccccc2)c2ccc(Cl)cc2)CC1,576507,False,c1ccc(C(NC2CCNCC2)c2ccccc2)cc1,C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1
114771,Active,,NC(=NCc1ccc(Cl)c(Cl)c1)NC(=O)c1nc(Cl)c(N)nc1N,576507,False,O=C(NC=NCc1ccccc1)c1cnccn1,CC(CCCCC1CCCCC1)C1CCCCC1
2903171,Active,,CC(=O)N(C1=C(N2CCOCC2)C(=O)c2ccccc2C1=O)c1cccc(Cl)c1,576507,True,O=C1C(Nc2ccccc2)=C(N2CCOCC2)C(=O)c2ccccc21,CC1C2CCCCC2C(C)C(C2CCCCC2)C1CC1CCCCC1
2903111,Active,,CC(=O)N(C1=C(N(C)C)C(=O)c2ccccc2C1=O)c1cccc(Cl)c1,576507,True,O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,CC1CC(CC2CCCCC2)C(C)C2CCCCC12
2903255,Active,,CC(=O)N(C1=C(N(C)C)C(=O)c2ccccc2C1=O)c1ccc(F)c(F)c1,576507,True,O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,CC1CC(CC2CCCCC2)C(C)C2CCCCC12
32798,Active,,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,576507,True,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,CC1CCC2C(CCC3C4CCCC4CCC23)C1
73334,Active,,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,576507,False,c1ccc(C(CCCN2CCNCC2)c2ccccc2)cc1,C1CCC(CCCC(C2CCCCC2)C2CCCCC2)CC1
5702295,Active,,NC(=NCc1ccccc1)NC(=O)c1nc(Cl)c(N)nc1N,576507,False,O=C(NC=NCc1ccccc1)c1cnccn1,CC(CCCCC1CCCCC1)C1CCCCC1
137630036,Active,,CN(C)c1nc(N)c(C(=O)NC(=N)N)nc1Cl,576507,False,c1cnccn1,C1CCCCC1
10236521,Active,,CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1,576507,False,c1ccc2c(c1)CCCC2,C1CCC2CCCCC2C1
21127119,Active,,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,576507,False,c1ccc2c(c1)CCNC2CC1CCN2CCc3ccccc3C2C1,C1CCC2C(C1)CCCC2CC1CCC2CCC3CCCCC3C2C1
137630035,Active,,CC(C)CN(C)c1nc(N)c(C(=O)NC(=N)N)nc1Cl,576507,False,c1cnccn1,C1CCCCC1
11957564,Active,,O[Si](CCCN1CCCCC1)(c1ccc(F)cc1)C1CCCCC1,576507,False,c1ccc([SiH](CCCN2CCCCC2)C2CCCCC2)cc1,C1CCC(CCCC(C2CCCCC2)C2CCCCC2)CC1
53317379,Active,,CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,576507,False,c1ccc(C(CCCN2CCNCC2)c2ccccc2)cc1,C1CCC(CCCC(C2CCCCC2)C2CCCCC2)CC1
52933525,Active,,Oc1ccccc1N1CCCC2CCCCC21,576507,False,c1ccc(N2CCCC3CCCCC32)cc1,C1CCC(C2CCCC3CCCCC32)CC1
52933524,Active,,CC1CCCN(c2cccc(Br)c2O)C1,576507,False,c1ccc(N2CCCCC2)cc1,C1CCC(C2CCCCC2)CC1
52933526,Active,,Oc1c(Cl)cccc1N1CCCCCCC1,576507,False,c1ccc(N2CCCCCCC2)cc1,C1CCCC(C2CCCCC2)CCC1
52933529,Active,,CCCN(CC1CC1)c1cc(Cl)cc(Cl)c1O,576507,False,c1ccc(NCC2CC2)cc1,C1CCC(CCC2CC2)CC1
52933527,Active,,Oc1c(Br)cccc1N1CCCCCCC1,576507,False,c1ccc(N2CCCCCCC2)cc1,C1CCCC(C2CCCCC2)CCC1
135980484,Active,,Oc1c(Cl)cccc1C1=NN=C(c2ccc(Cl)cc2)C1,576507,False,c1ccc(C2=NN=C(c3ccccc3)C2)cc1,C1CCC(C2CCC(C3CCCCC3)C2)CC1
2870785,Active,,CC(=O)N(C1=C(N2CCCCC2)C(=O)c2ccccc2C1=O)C1CCCCC1,576507,True,O=C1C(NC2CCCCC2)=C(N2CCCCC2)C(=O)c2ccccc21,CC1C2CCCCC2C(C)C(C2CCCCC2)C1CC1CCCCC1
