PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,smiles,AID,match,murcko,gen_murcko
64971,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21
70678254,Unspecified,,C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,1273895,False,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21
127024873,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(/C=C/c4ccccc4)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(C=Cc2ccccc2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(CCC2CCCCC2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127024874,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4ccc(Br)cc4)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccccc2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCCCC2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127024875,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4cc(F)c(F)cc4Br)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccccc2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCCCC2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127024876,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4ccc5cc(OC)ccc5c4)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccc3ccccc3c2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCC3CCCCC3C2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127025477,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4cccc5c(O)cccc45)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OCc6cn(-c7cccc8c(O)cccc78)nn6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2cccc3ccccc23)nn1)C12CCCC1C1CCC3C4CCC(OCc5cn(-c6cccc7ccccc67)nn5)CC4CCC3C1CC2,CC(CCC1CCC(C2CCCC3CCCCC32)C1)C12CCCC1C1CCC3C4CCC(CCC5CCC(C6CCCC7CCCCC76)C5)CC4CCC3C1CC2
127025800,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4c(F)ccc(OC)c4Br)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccccc2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCCCC2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127025801,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4ccc(OCCC)c(Cl)c4)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccccc2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCCCC2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127025802,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4ccc5oc6ccccc6c5c4)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccc3oc4ccccc4c3c2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCC3CC4CCCCC4C3C2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127025803,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4cccc([N+](=O)[O-])c4)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccccc2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCCCC2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
127026420,Unspecified,,C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn(-c4ccc(C(C)(C)C)cc4)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1273895,False,O=C(OCc1cn(-c2ccccc2)nn1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2,CC(CCC1CCC(C2CCCCC2)C1)C12CCCC1C1CCC3C4CCCCC4CCC3C1CC2
