PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,374291536,132961588,Unspecified,,,Potential missing data,Activity,Non-Toxic
2,374304276,132961589,Unspecified,,,Potential missing data,Activity,Non-Toxic
3,374310174,134143542,Unspecified,,,Potential missing data,Activity,Non-Toxic
4,374333725,134150090,Unspecified,,,Potential missing data,Activity,Non-Toxic
5,374336455,132961590,Unspecified,,,Potential missing data,Activity,Non-Toxic
6,374358431,132961587,Unspecified,,,Potential missing data,Activity,Non-Toxic
