PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,134437144,56659799,Unspecified,,,Potential missing data,Activity,Non-toxic
2,134456435,56676955,Unspecified,,,Potential missing data,Activity,Non-toxic
3,134464046,56683599,Unspecified,,,Potential missing data,Activity,Non-toxic
