PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,194141270,76311456,Inactive,,,Potential missing data,Inhibition,Not Active
2,194141272,24861994,Inactive,,,Potential missing data,Inhibition,Not Active
3,194141273,76311457,Inactive,,,Potential missing data,Inhibition,Not Active
4,194141274,76311458,Inactive,,,Potential missing data,Inhibition,Not Active
5,194155036,24861988,Inactive,,,Potential missing data,Inhibition,Not Active
6,194157620,76320074,Inactive,,,Potential missing data,Inhibition,Not Active
7,194161943,24861889,Inactive,,,Potential missing data,Inhibition,Not Active
8,194161964,24861892,Inactive,,,Potential missing data,Inhibition,Not Active
9,194161969,24861992,Inactive,,,Potential missing data,Inhibition,Not Active
10,194175696,24861890,Inactive,,,Potential missing data,Inhibition,Not Active
11,194175704,24861895,Inactive,,,Potential missing data,Inhibition,Not Active
12,194175708,76329529,Inactive,,,Potential missing data,Inhibition,Not Active
13,194182549,76333187,Inactive,,,Potential missing data,Inhibition,Not Active
