PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103168561,5351344,Active,,,Potential missing data,Activity,Active
2,124974065,36314,Inactive,,,Potential missing data,Activity,Not Active
3,312358520,101913673,Active,,,Potential missing data,Activity,Active
4,312358524,101913674,Active,,,Potential missing data,Activity,Active
