PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103493966,135423827,Inactive,,,Potential missing data,Activity,Not Active
2,103493967,136043838,Inactive,,,Potential missing data,Activity,Not Active
3,103494002,11846850,Inactive,,,Potential missing data,Activity,Not Active
4,103494003,135423828,Inactive,,,Potential missing data,Activity,Not Active
5,103494052,135423848,Inactive,,,Potential missing data,Activity,Not Active
6,103494053,54680356,Inactive,,,Potential missing data,Activity,Not Active
7,103494075,14957,Inactive,,,Potential missing data,Activity,Not Active
