PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103386676,127149,Unspecified,,,Potential missing data,GI,Dose-dependent effect
2,103579684,44559041,Unspecified,,,Potential missing data,GI,Dose-dependent effect
3,103759743,46905041,Unspecified,,,Potential missing data,GI,Dose-dependent effect
4,134462912,56683045,Unspecified,,,Potential missing data,GI,Dose-dependent effect
5,160677673,70685345,Unspecified,,,Potential missing data,GI,Dose-dependent effect
