PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,318405849,53259809,Inactive,,,Potential missing data,Inhibition,Not Active
2,336898937,67255983,Inactive,,,Potential missing data,Inhibition,Not Active
3,336898938,121231455,Inactive,,,Potential missing data,Inhibition,Not Active
