PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103177124,6167,Unspecified,,,Potential missing data,Activity,substrate [+]
2,103454533,10359957,Unspecified,,,Potential missing data,Activity,is not a substrate [-]
3,124974065,36314,Unspecified,,,Potential missing data,Activity,substrate [+]
4,160677133,5978,Unspecified,,,Potential missing data,Activity,substrate [+]
