PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103737357,44604735,Inactive,,,Potential missing data,Inhibition,Not Active
2,103737424,44604736,Inactive,,,Potential missing data,Inhibition,Not Active
3,103737425,44604734,Inactive,,,Potential missing data,Inhibition,Not Active
4,103737426,44604940,Inactive,,,Potential missing data,Inhibition,Not Active
5,103737427,44604945,Inactive,,,Potential missing data,Inhibition,Not Active
6,103737428,11325812,Inactive,,,Potential missing data,Inhibition,Not Active
