PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103378598,10364986,Inactive,,,Potential missing data,Inhibition,Not Active
2,103586212,122838,Inactive,,,Potential missing data,Inhibition,Not Active
3,103631753,11201041,Inactive,,,Potential missing data,Inhibition,Not Active
4,163320252,71453127,Active,,,Potential missing data,Inhibition,Active
5,163323634,71454859,Active,,,Potential missing data,Inhibition,Active
6,163327093,71456630,Inactive,,,Potential missing data,Inhibition,Not Active
