PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103738356,135976586,Inactive,,,Potential missing data,Activity,Not Active
2,103738357,135976587,Inactive,,,Potential missing data,Activity,Not Active
3,103738358,54738543,Inactive,,,Potential missing data,Activity,Not Active
4,103738359,54738544,Inactive,,,Potential missing data,Activity,Not Active
5,103738360,54738545,Inactive,,,Potential missing data,Activity,Not Active
6,103738361,46880253,Inactive,,,Potential missing data,Activity,Not Active
7,103738431,46880295,Inactive,,,Potential missing data,Activity,Not Active
8,103738432,46880296,Inactive,,,Potential missing data,Activity,Not Active
9,103738433,46880297,Inactive,,,Potential missing data,Activity,Not Active
10,103738434,46880298,Inactive,,,Potential missing data,Activity,Not Active
11,103739321,46880857,Inactive,,,Potential missing data,Activity,Not Active
12,103739322,46880858,Inactive,,,Potential missing data,Activity,Not Active
13,103739323,46880859,Inactive,,,Potential missing data,Activity,Not Active
14,103739324,46880860,Inactive,,,Potential missing data,Activity,Not Active
15,103739389,46880902,Inactive,,,Potential missing data,Activity,Not Active
16,103739390,46880903,Inactive,,,Potential missing data,Activity,Not Active
17,103739391,46880904,Inactive,,,Potential missing data,Activity,Not Active
18,103739392,46880905,Inactive,,,Potential missing data,Activity,Not Active
19,103739393,46880906,Inactive,,,Potential missing data,Activity,Not Active
20,103739394,46880907,Inactive,,,Potential missing data,Activity,Not Active
21,103739458,54738546,Inactive,,,Potential missing data,Activity,Not Active
22,103739459,54738547,Inactive,,,Potential missing data,Activity,Not Active
23,103739460,54738548,Inactive,,,Potential missing data,Activity,Not Active
24,103739461,54738549,Inactive,,,Potential missing data,Activity,Not Active
25,103739462,54738550,Inactive,,,Potential missing data,Activity,Not Active
26,103739463,54738551,Inactive,,,Potential missing data,Activity,Not Active
