PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,104244556,11592194,Active,,,Potential missing data,Inhibition,Active
2,104244557,49865684,Inactive,,,Potential missing data,Inhibition,Not Active
3,104244558,24783759,Inactive,,,Potential missing data,Inhibition,Not Active
4,104244559,49865685,Inactive,,,Potential missing data,Inhibition,Not Active
