PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,312368878,118720653,Inactive,,,Potential missing data,Inhibition,Not Active
2,312368881,118720655,Inactive,,,Potential missing data,Inhibition,Not Active
3,312368882,118720656,Inactive,,,Potential missing data,Inhibition,Not Active
4,312368886,118146729,Inactive,,,Potential missing data,Inhibition,Not Active
5,312368887,118146797,Inactive,,,Potential missing data,Inhibition,Not Active
6,312368888,118146730,Inactive,,,Potential missing data,Inhibition,Not Active
7,312368889,118144225,Inactive,,,Potential missing data,Inhibition,Not Active
8,312368891,118146798,Inactive,,,Potential missing data,Inhibition,Not Active
9,312368897,118146854,Inactive,,,Potential missing data,Inhibition,Not Active
10,312368898,118146794,Inactive,,,Potential missing data,Inhibition,Not Active
11,312368916,86763302,Inactive,,,Potential missing data,Inhibition,Not Active
12,312368917,118144380,Inactive,,,Potential missing data,Inhibition,Not Active
