PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
10696,135625189,,Inactive,0,,,ZNF518,19.3522,36.3825,95.4171,53.191,-1.33326,-1.90901,1151,1049,940.5,2.25496,47.7845,55.3421,68.2537,0.281749,ZNF518,9849,M-032678-00,NM_014803,QDA103929,10,6,No
10697,135625190,,Active,100,,,KBTBD11,12.9602,36.1611,95.1837,35.8403,-1.66722,-2.81287,1284,1090.5,955,2.95724,47.8193,58.5323,71.579,-0.011524,KBTBD11,9920,M-032679-01,NM_014867,QDA103802,10,21,Yes
10698,135625191,,Inactive,0,,,HMG1L1,52.6565,36.804,94.9573,143.073,0.396803,0.356191,948,1138.5,959.5,-0.0614962,42.5105,49.9338,71.064,0.205373,HMG1L1,10357,M-032680-01,NM_001008735,QDA103944,12,3,No
10699,135625192,,Inactive,0,,,KIAA0961,71.8884,29.0639,94.6599,247.346,2.40386,1.60944,860,1352,991,-1.78272,46.8605,44.7305,58.4896,1.44423,ZFP30,22835,M-032682-00,NM_014898,QDA103828,3,17,No
10700,135625193,,Inactive,0,,,DNAJC16,45.4472,43.3453,94.8239,104.849,-0.338931,-0.3554,1039,1104,982.5,0.888065,42.2522,55.319,68.2809,-0.347196,DNAJC16,23341,M-032683-01,NM_015291,QDA104007,3,16,No
10701,135625195,,Inactive,0,,,RNUXA,54.27,35.7543,94.1109,151.786,0.56451,0.491526,1023,1101,972,0.783276,40.176,62.1164,73.382,-1.0857,RNUXA,51808,M-032689-01,NM_032177,QDA103960,9,12,No
10702,135625196,,Inactive,0,,,MXRA8,28.5347,34.8669,94.0704,81.8389,-0.781838,-0.922628,1057,1288,1000,-0.166763,38.316,43.9986,57.1148,0.328501,MXRA8,54587,M-032691-01,NM_032348,QDA103765,14,10,No
10703,135625197,,Inactive,0,,,PRR5,76.9165,29.2368,94.7973,263.081,2.70673,1.75063,1002,1239,991,-0.271268,34.9301,46.0401,63.6347,-0.379395,PRR5,55615,M-032695-00,NM_001017529,QDA103872,6,8,No
10704,135625198,,Inactive,0,,,YLPM1,35.8614,36.0002,94.9202,99.6145,-0.43969,-0.472649,931,1060.5,948.5,0.334384,54.9946,59.1218,70.3279,0.703081,YLPM1,56252,M-032696-00,NM_019589,QDA103891,3,7,No
10705,135625199,,Inactive,0,,,KIAA1463,25.3496,35.1319,94.0011,72.1556,-0.968222,-1.21092,1040,1320,1047,-0.453722,39.2308,46.4009,61.5548,0.168367,DIP2B,57609,M-032699-00,NM_173602,QDA103785,2,9,No
