PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
1,56478465,,Inactive,0,,,AKT3,26.2868,38.6229,93.3125,68.0601,-1.04705,-1.34469,947,1275,1010.5,-0.848906,22.2809,40.0672,54.6009,-1.65815,AKT3,10000,M-003002-02,NM_005465,QDA103595,5,21,No
2,56478467,,Inactive,0,,,GSK3A,74.6303,38.6229,93.3125,193.228,1.36219,1.04417,770,1275,1010.5,-2.06443,44.8052,40.0672,54.6009,1.89005,GSK3A,2931,M-003009-01,NM_019884,QDA103595,2,17,No
3,56478468,,Inactive,0,,,GSK3B,59.591,38.8317,94.1628,153.46,0.596729,0.516634,1333,1361,968,1.22345,42.6857,43.7155,49.8988,0.994994,GSK3B,2932,M-003010-03,NM_002093,QDA103627,14,21,No
4,56478471,,Inactive,0,,,IRS1,53.6,33.9208,94.4323,158.015,0.684412,0.583603,754,1304,1015.5,-2.28946,30.6366,44.8517,59.5009,-0.85672,IRS1,3667,M-003015-01,NM_005544,QDA103773,7,3,No
5,56478474,,Inactive,0,,,PIK3CB,45.8221,38.8317,94.1628,118.002,-0.0857674,-0.084855,993,1361,968,-0.96391,30.0101,43.7155,49.8988,-0.835124,PIK3CB,5291,M-003019-02,NM_006219,QDA103627,4,13,No
6,56478482,,Inactive,0,,,TNK2,46.3576,38.6229,93.3125,120.026,-0.0468022,-0.0459141,946,1275,1010.5,-0.855774,31.9239,40.0672,54.6009,-0.139111,TNK2,10188,M-003102-04,NM_005781,QDA103595,2,8,No
7,56478483,,Inactive,0,,,ALK,53.7879,38.8317,94.1628,138.516,0.309081,0.28208,815,1361,968,-2.10906,21.4724,43.7155,49.8988,-2.0678,ALK,238,M-003103-02,NM_004304,QDA103627,3,18,No
8,56478485,,Inactive,0,,,BLK,29.947,37.237,92.7941,80.4228,-0.809095,-0.962587,1062,1234,1031,0.183154,30.0377,39.9446,56.7057,-0.42172,BLK,640,M-003105-03,NM_001715,QDA103607,15,18,No
9,56478487,,Inactive,0,,,BTK,23.7018,38.6229,93.3125,61.3674,-1.17588,-1.58166,1092,1275,1010.5,0.146858,33.2418,40.0672,54.6009,0.0684899,BTK,695,M-003107-01,NM_000061,QDA103595,2,13,No
10,56478490,,Inactive,0,,,CSK,27.6085,38.6229,93.3125,71.4822,-0.981183,-1.23238,1013,1275,1010.5,-0.395662,34.5508,40.0672,54.6009,0.274707,CSK,1445,M-003110-02,NM_004383,QDA103595,11,7,No
11,56478493,,Inactive,0,,,STYK1,72.6462,38.6229,93.3125,188.091,1.26332,0.982482,975,1275,1010.5,-0.656621,33.1282,40.0672,54.6009,0.0506023,STYK1,55359,M-003113-01,NM_018423,QDA103595,15,5,No
12,56478503,,Inactive,0,,,EPHB3,42.3561,38.8317,94.1628,109.076,-0.25757,-0.264918,1025,1361,968,-0.758041,34.5366,43.7155,49.8988,-0.181581,EPHB3,2049,M-003123-02,NM_004443,QDA103627,12,12,No
13,56478510,,Inactive,0,,,FES,65.27,38.8317,94.1628,168.085,0.878228,0.725028,997,1361,968,-0.938177,39.8195,43.7155,49.8988,0.581167,FES,2242,M-003130-01,NM_002005,QDA103627,11,12,No
14,56478513,,Inactive,0,,,FGFR3,52.4522,37.237,92.7941,140.861,0.354218,0.320514,1050,1234,1031,0.0980079,33.3333,39.9446,56.7057,0.0990334,FGFR3,2261,M-003133-01,NM_000142,QDA103607,15,9,No
15,56478514,,Inactive,0,,,FGFR4,57.2358,38.8317,94.1628,147.395,0.479986,0.424318,1136,1361,968,-0.0439336,45.2465,43.7155,49.8988,1.36473,FGFR4,2264,M-003134-02,NM_002011,QDA103627,6,6,No
16,56478519,,Inactive,0,,,FRK,43.5829,38.8317,94.1628,112.235,-0.196761,-0.199554,999,1361,968,-0.92531,27.6276,43.7155,49.8988,-1.1791,FRK,2444,M-003139-01,NM_002031,QDA103627,4,11,No
17,56478524,,Inactive,0,,,JAK2,23.4796,38.6229,93.3125,60.7919,-1.18695,-1.60323,1202,1275,1010.5,0.902266,51.9967,40.0672,54.6009,3.02291,JAK2,3717,M-003146-02,NM_004972,QDA103595,5,16,No
18,56478525,,Inactive,0,,,JAK3,39.3285,38.6229,93.3125,101.827,-0.397103,-0.422358,1157,1275,1010.5,0.593236,38.2887,40.0672,54.6009,0.863521,JAK3,3718,M-003147-01,NM_000215,QDA103595,2,20,No
19,56478526,,Inactive,0,,,KDR,66.0395,38.8317,94.1628,170.066,0.916371,0.75186,867,1361,968,-1.77452,12.5721,43.7155,49.8988,-3.35284,KDR,3791,M-003148-01,NM_002253,QDA103627,4,22,No
20,56478534,,Inactive,0,,,MET,38.7312,38.8317,94.1628,99.7414,-0.437249,-0.469736,1074,1361,968,-0.442805,37.7095,43.7155,49.8988,0.276528,MET,4233,M-003156-02,NM_000245,QDA103627,10,4,No
21,56478536,,Inactive,0,,,MUSK,55.9099,38.6229,93.3125,144.759,0.429248,0.383005,932,1275,1010.5,-0.951916,33.2618,40.0672,54.6009,0.0716479,MUSK,4593,M-003158-01,NM_005592,QDA103595,7,7,No
22,56478542,,Inactive,0,,,PTK2,32.4976,37.237,92.7941,87.2724,-0.677253,-0.775466,901,1234,1031,-0.959223,31.2986,39.9446,56.7057,-0.222484,PTK2,5747,M-003164-02,NM_005607,QDA103607,7,18,No
23,56478543,,Inactive,0,,,PTK2B,57.9352,38.6229,93.3125,150.002,0.530176,0.464463,1011,1275,1010.5,-0.409396,46.6865,40.0672,54.6009,2.1864,PTK2B,2185,M-003165-03,NM_004103,QDA103595,12,14,No
24,56478546,,Inactive,0,,,PTK9,45.3689,37.237,92.7941,121.838,-0.0119227,-0.0116093,1089,1234,1031,0.374733,31.7723,39.9446,56.7057,-0.147632,TWF1,5756,M-003168-03,NM_002822,QDA103607,13,13,No
25,56478547,,Inactive,0,,,PTK9L,66.3532,38.8317,94.1628,170.874,0.931919,0.762708,864,1361,968,-1.79382,29.2824,43.7155,49.8988,-0.940185,TWF2,11344,M-003169-01,NM_007284,QDA103627,9,9,No
26,56478550,,Active,100,,,ROR2,16.3034,38.6229,93.3125,42.2118,-1.54458,-2.43828,1024,1275,1010.5,-0.320121,44.4336,40.0672,54.6009,1.83152,ROR2,4920,M-003172-01,NM_004560,QDA103595,8,14,Yes
27,56478551,,Inactive,0,,,ROS1,50.8628,38.6229,93.3125,131.691,0.177717,0.16641,1135,1275,1010.5,0.442154,18.2379,40.0672,54.6009,-2.29504,ROS1,6098,M-003173-01,NM_002944,QDA103595,10,9,No
28,56478553,,Inactive,0,,,SRC,52.9266,37.237,92.7941,142.135,0.378742,0.341127,1013,1234,1031,-0.164526,24.7779,39.9446,56.7057,-1.25282,SRC,6714,M-003175-03,NM_005417,QDA103607,12,10,No
29,56478554,,Inactive,0,,,SYK,71.444,37.237,92.7941,191.863,1.33592,1.02794,782,1234,1031,-1.80359,37.2123,39.9446,56.7057,0.711951,SYK,6850,M-003176-03,NM_003177,QDA103607,7,6,No
30,56478561,,Inactive,0,,,TYRO3,84.9292,38.6229,93.3125,219.894,1.87545,1.34011,1118,1275,1010.5,0.325409,28.6225,40.0672,54.6009,-0.659165,TYRO3,7301,M-003183-02,NM_006293,QDA103595,5,9,No
31,56478566,,Inactive,0,,,CCNA2,32.022,19.5679,90.8493,163.645,0.792779,0.663751,826,1429.5,1158,-2.29293,34.6247,43.045,57.1216,-0.0909884,CCNA2,890,M-003205-02,NM_001237,QDA103569,9,10,No
32,56478568,,Inactive,0,,,CCNB2,15.2893,9.53179,92.239,160.403,0.730369,0.617936,908,1373.5,1069.5,-1.56391,24.6696,30.0506,47.4993,0.0134848,CCNB2,9133,M-003207-01,NM_004701,MAY1100741,11,10,No
33,56478572,,Inactive,0,,,CCND2,52.8926,18.4552,90.6847,286.6,3.15943,1.94666,1107,1456.5,1165.5,-0.697464,28.1843,43.7454,59.5963,-1.10151,CCND2,894,M-003211-02,NM_001759,QDA103556,9,11,No
34,56478573,,Inactive,0,,,CCND3,14.511,21.695,90.6061,66.8865,-1.06964,-1.38451,1186,1394,1181,0.097112,43.5919,45.271,57.4234,0.909588,CCND3,896,M-003212-02,NM_001760,QDA103503,3,16,No
35,56478574,,Inactive,0,,,CCNE1,35.6025,21.7866,90.03,163.414,0.788336,0.660519,1036,1430,1177.5,-1.00887,36.1969,44.9702,60.728,-0.0876725,CCNE1,898,M-003213-02,NM_001238,QDA103479,8,16,No
36,56478577,,Inactive,0,,,CCNG1,28.405,20.0397,91.2489,141.744,0.371216,0.334821,1206,1447.5,1148,-0.0572405,47.3466,45.5163,56.0895,1.39749,CCNG1,900,M-003216-01,NM_004060,QDA103561,3,6,No
37,56478578,,Inactive,0,,,CCNG2,38.821,18.6904,91.3747,207.705,1.64085,1.20957,1324,1489,1199,0.433322,36.0272,45.0144,56.1081,-0.116462,CCNG2,901,M-003217-02,NM_004354,QDA103521,7,7,No
38,56478580,,Inactive,0,,,CCNI,30.1408,20.0397,91.2489,150.406,0.537948,0.470618,1309,1447.5,1148,0.565802,48.4339,45.5163,56.0895,1.54827,CCNI,10983,M-003219-02,NM_006835,QDA103561,5,10,No
39,56478581,,Inactive,0,,,CCNT1,20.5925,10.1407,91.6574,203.068,1.55159,1.15788,1218,1329.5,1048.5,0.669262,27.6683,32.8163,44.5829,0.153555,CCNT1,904,M-003220-02,NM_001240,MAY1100743,6,22,No
40,56478582,,Inactive,0,,,CCNT2,43.118,20.0397,91.2489,215.163,1.7844,1.29033,1308,1447.5,1148,0.559753,35.3976,45.5163,56.0895,-0.259468,CCNT2,905,M-003221-04,NM_058241,QDA103561,7,3,No
41,56478584,,Inactive,0,,,CDC2,54.9639,37.237,92.7941,147.606,0.48405,0.427595,922,1234,1031,-0.810218,31.9957,39.9446,56.7057,-0.112334,CDC2,983,M-003224-03,NM_001786,QDA103607,9,3,No
42,56478587,,Inactive,0,,,CDC25B,42.9104,37.5698,93.9149,114.215,-0.158651,-0.159521,633,1314,967,-3.13427,24.8025,42.5495,52.952,-1.48886,CDC25B,994,M-003227-02,NM_004358,QDA103628,7,11,No
43,56478590,,Inactive,0,,,CDC34,23.4156,21.0964,90.5842,110.993,-0.220669,-0.225031,1344,1445,1226.5,0.791581,36.6815,42.8374,56.9079,0.236679,CDC34,997,M-003230-01,NM_004359,QDA103660,12,12,No
44,56478591,,Inactive,0,,,CDC37,56.6636,31.3817,94.613,180.563,1.11841,0.888966,1000,1331,1024.5,-0.773871,41.3,49.4545,63.6211,0.102959,CDC37,11140,M-003231-01,NM_007065,QDA103880,6,13,No
45,56478592,,Inactive,0,,,CDC45L,49.1761,33.2009,94.8342,148.116,0.49388,0.435502,1012,1114,949,0.601878,64.921,57.5755,71.2572,1.94892,CDC45L,8318,M-003232-02,NM_003504,QDA103899,2,22,No
46,56478594,,Inactive,0,,,CDC7,64.1947,37.237,92.7941,172.395,0.961197,0.782996,732,1234,1031,-2.15836,60.5191,39.9446,56.7057,4.3947,CDC7,8317,M-003234-02,NM_003503,QDA103607,13,22,No
47,56478596,,Active,100,,,CDK2,16.4716,38.8317,94.1628,42.4179,-1.54062,-2.42712,1062,1361,968,-0.520005,35.2166,43.7155,49.8988,-0.0834035,CDK2,1017,M-003236-04,NM_001798,QDA103627,11,18,Yes
48,56478597,,Inactive,0,,,CDK3,60.1753,38.8317,94.1628,154.964,0.625691,0.538972,901,1361,968,-1.55578,34.6282,43.7155,49.8988,-0.168355,CDK3,1018,M-003237-01,NM_001258,QDA103627,13,22,No
49,56478598,,Inactive,0,,,CDK4,29.2748,38.6229,93.3125,75.7966,-0.898139,-1.09821,981,1275,1010.5,-0.615417,37.2069,40.0672,54.6009,0.693116,CDK4,1019,M-003238-02,NM_000075,QDA103595,4,13,No
50,56478599,,Inactive,0,,,CDK5,25.3756,38.6229,93.3125,65.701,-1.09246,-1.42545,1128,1275,1010.5,0.394083,28.9007,40.0672,54.6009,-0.615346,CDK5,1020,M-003239-01,NM_004935,QDA103595,9,18,No
51,56478600,,Inactive,0,,,CDK6,53.8585,38.8317,94.1628,138.697,0.312582,0.285085,1103,1361,968,-0.256236,30.7344,43.7155,49.8988,-0.73055,CDK6,1021,M-003240-02,NM_001259,QDA103627,2,21,No
52,56478602,,Inactive,0,,,CDK8,21.2568,38.6229,93.3125,55.0368,-1.29773,-1.83092,1189,1275,1010.5,0.812991,36.1648,40.0672,54.6009,0.528958,CDK8,1024,M-003242-02,NM_001260,QDA103595,4,7,No
53,56478604,,Inactive,0,,,CDKN1C,44.1406,38.8317,94.1628,113.672,-0.169115,-0.170443,1130,1361,968,-0.0825341,38.4071,43.7155,49.8988,0.377245,CDKN1C,1028,M-003244-03,NM_000076,QDA103627,6,15,No
54,56478606,,Inactive,0,,,CDKN2C,41.6667,38.6229,93.3125,107.881,-0.28058,-0.290148,963,1275,1010.5,-0.739029,25.649,40.0672,54.6009,-1.12758,CDKN2C,1031,M-003246-01,NM_001262,QDA103595,5,20,No
55,56478608,,Inactive,0,,,CDT1,23.9856,33.9208,94.4323,70.7106,-0.996037,-1.25723,1000,1304,1015.5,-0.637662,42.2,44.8517,59.5009,0.770523,CDT1,81620,M-003248-01,NM_030928,QDA103773,15,21,No
56,56478615,,Inactive,0,,,PLK3,77.3344,38.8317,94.1628,199.153,1.47624,1.11331,1091,1361,968,-0.333437,26.2145,43.7155,49.8988,-1.38314,PLK3,1263,M-003257-02,NM_004073,QDA103627,12,8,No
57,56478616,,Active,100,,,E2F1,34.689,10.1407,91.6574,342.078,4.22726,2.35175,753,1329.5,1048.5,-2.39315,20.1859,32.8163,44.5829,-1.28557,E2F1,1869,M-003259-01,NM_005225,MAY1100743,11,21,Yes
58,56478617,,Inactive,0,,,E2F2,12.7155,22.5118,90.8912,56.4839,-1.26987,-1.7715,1327,1431.5,1149,0.764401,32.3286,43.544,55.1021,-0.481995,E2F2,1870,M-003260-02,NM_004091,QDA103467,13,12,No
59,56478618,,Inactive,0,,,E2F3,34.1134,22.5118,90.8912,151.536,0.5597,0.487754,956,1431.5,1149,-1.50484,28.7657,43.544,55.1021,-0.998432,E2F3,1871,M-003261-02,NM_001949,QDA103467,15,7,No
60,56478619,,Inactive,0,,,HIPK2,27.3684,38.6229,93.3125,70.8606,-0.993148,-1.25237,1221,1275,1010.5,1.03275,44.6355,40.0672,54.6009,1.86333,HIPK2,28996,M-003266-03,NM_022740,QDA103595,11,4,No
61,56478621,,Inactive,0,,,MCM3,38.5735,20.2515,91.4596,190.472,1.30915,1.01128,1218,1385.5,1123,0.345042,31.1987,43.4837,57.8597,-0.639492,MCM3,4172,M-003274-02,NM_002388,QDA103454,14,8,No
62,56478622,,Inactive,0,,,MCM4,59.1235,20.2515,91.4596,291.946,3.26233,1.98897,1210,1385.5,1123,0.294485,46.6116,43.4837,57.8597,1.5977,MCM4,4173,M-003275-01,NM_005914,QDA103454,12,3,No
63,56478624,,Inactive,0,,,MNAT1,22.2136,20.7251,90.7234,107.182,-0.294022,-0.305016,1230,1424,1182,0.210719,37.8862,43.5393,56.3724,0.32417,MNAT1,4331,M-003281-04,NM_002431,QDA103653,9,7,No
64,56478627,,Inactive,0,,,ORC3L,53.5266,34.3386,94.6928,155.879,0.643289,0.552439,1119,1108.5,937,1.48652,38.6953,55.7682,69.6855,-0.788584,ORC3L,23595,M-003285-01,NM_012381,QDA103909,9,6,No
65,56478628,,Inactive,0,,,ORC4L,32.0571,29.2368,94.7973,109.646,-0.2466,-0.252988,1218,1239,991,1.25518,25.5337,46.0401,63.6347,-1.66757,ORC4L,5000,M-003286-02,NM_002552,QDA103872,6,6,No
66,56478630,,Active,100,,,ORC6L,14.1713,33.2009,94.8342,42.6835,-1.5355,-2.41283,1098,1114,949,1.27782,41.8944,57.5755,71.2572,-0.57536,ORC6L,23594,M-003288-01,NM_014321,QDA103899,12,18,Yes
67,56478631,,Inactive,0,,,PCNA,30.9846,18.6904,91.3747,165.778,0.833833,0.693396,996,1489,1199,-1.49544,31.5261,45.0144,56.1081,-0.747582,PCNA,5111,M-003289-02,NM_002592,QDA103521,13,5,No
68,56478632,,Inactive,0,,,PLK1,66.4122,37.237,92.7941,178.35,1.07582,0.860743,114,1234,1031,-6.54339,19.2982,39.9446,56.7057,-2.11867,PLK1,5347,M-003290-01,NM_005030,QDA103607,8,12,No
69,56478634,,Inactive,0,,,RAD17,39.8265,21.9795,90.6248,181.199,1.13065,0.897017,1177,1401.5,1181.5,0.00101984,34.9193,45.3517,58.6542,-0.308218,RAD17,5884,M-003294-01,NM_002873,QDA103583,15,4,No
70,56478635,,Inactive,0,,,RAD9A,39.5631,18.6904,91.3747,211.676,1.71728,1.25292,1168,1489,1199,-0.484015,45.4623,45.0144,56.1081,1.20649,RAD9A,5883,M-003295-03,NM_004584,QDA103521,4,6,No
71,56478638,,Inactive,0,,,RBL1,23.1436,19.606,90.2718,118.043,-0.0849687,-0.0840501,1568,1414,1158.5,2.35719,40.6888,43.1955,58.9567,0.777402,RBL1,5933,M-003298-02,NM_002895,QDA103513,15,13,No
72,56478640,,Inactive,0,,,RBP1,22.8171,10.1407,91.6574,225.006,1.97386,1.39273,1108,1329.5,1048.5,-0.0551794,32.852,32.8163,44.5829,1.15055,RBP1,5947,M-003300-01,NM_002899,MAY1100743,2,10,No
73,56478641,,Inactive,0,,,MAP3K3,59.9142,38.8317,94.1628,154.292,0.612749,0.529017,1056,1361,968,-0.558606,24.6212,43.7155,49.8988,-1.61317,MAP3K3,4215,M-003301-02,NM_002401,QDA103627,2,10,No
74,56478643,,Inactive,0,,,MAP3K12,54.6654,38.6229,93.3125,141.536,0.367225,0.33147,988,1275,1010.5,-0.567345,45.9514,40.0672,54.6009,2.07062,MAP3K12,7786,M-003312-02,NM_006301,QDA103595,4,19,No
75,56478648,,Inactive,0,,,PLK2,48.7783,37.237,92.7941,130.994,0.16431,0.15427,1015,1234,1031,-0.150335,37.1429,39.9446,56.7057,0.700982,PLK2,10769,M-003325-05,NM_006622,QDA103607,11,7,No
76,56478651,,Active,100,,,TP73L,64.7306,18.4552,90.6847,350.745,4.39409,2.40903,1286,1456.5,1165.5,0.378608,33.3593,43.7454,59.5963,-0.354857,TP73L,8626,M-003330-01,NM_003722,QDA103556,6,3,Yes
77,56478652,,Inactive,0,,,TP73,41.2167,21.695,90.6061,189.983,1.29972,1.00539,1250,1394,1181,0.499103,28.4,45.271,57.4234,-1.20847,TP73,7161,M-003331-01,NM_005427,QDA103503,6,10,No
78,56478654,,Inactive,0,,,CDKN1A,38.5204,38.6229,93.3125,99.7347,-0.437377,-0.469889,1064,1275,1010.5,-0.0454272,29.3233,40.0672,54.6009,-0.548775,CDKN1A,1026,M-003471-00,NM_000389,QDA103595,15,16,No
79,56478655,,Inactive,0,,,CDKN1B,29.1339,38.6229,93.3125,75.4316,-0.905165,-1.10927,1019,1275,1010.5,-0.354458,31.1089,40.0672,54.6009,-0.267489,CDKN1B,1027,M-003472-00,NM_004064,QDA103595,12,7,No
80,56478658,,Inactive,0,,,CSNK1D,62.7854,38.6229,93.3125,162.56,0.771892,0.64852,1120,1275,1010.5,0.339144,39.6429,40.0672,54.6009,1.07684,CSNK1D,1453,M-003478-00,NM_001893,QDA103595,11,8,No
81,56478659,,Inactive,0,,,CSNK1E,41.4239,38.6229,93.3125,107.252,-0.292677,-0.303523,818,1275,1010.5,-1.73479,30.5623,40.0672,54.6009,-0.353592,CSNK1E,1454,M-003479-01,NM_001894,QDA103595,2,19,No
82,56478660,,Inactive,0,,,DUSP1,55.4007,37.5698,93.9149,147.461,0.481261,0.425346,1021,1314,967,-0.548829,42.2135,42.5495,52.952,1.09384,DUSP1,1843,M-003484-02,NM_004417,QDA103628,10,10,No
83,56478662,,Inactive,0,,,MAPK9,41.2675,38.6229,93.3125,106.847,-0.300473,-0.312185,1287,1275,1010.5,1.48599,44.5221,40.0672,54.6009,1.84547,MAPK9,5601,M-003505-02,NM_002752,QDA103595,2,6,No
84,56478664,,Inactive,0,,,MAP3K8,42.5871,38.6229,93.3125,110.264,-0.234712,-0.240128,934,1275,1010.5,-0.938182,35.439,40.0672,54.6009,0.414613,MAP3K8,1326,M-003511-03,NM_005204,QDA103595,4,5,No
85,56478666,,Inactive,0,,,MAPK7,40.5063,37.237,92.7941,108.78,-0.263274,-0.271147,1157,1234,1031,0.857228,20.6569,39.9446,56.7057,-1.90399,MAPK7,5598,M-003513-02,NM_002749,QDA103607,10,13,No
86,56478668,,Inactive,0,,,MAPKAPK2,53.8106,38.6229,93.3125,139.323,0.324626,0.295389,1207,1275,1010.5,0.936603,36.5369,40.0672,54.6009,0.587562,MAPKAPK2,9261,M-003516-02,NM_004759,QDA103595,14,19,No
87,56478669,,Inactive,0,,,MARK3,56.8079,38.6229,93.3125,147.084,0.474,0.419482,938,1275,1010.5,-0.910712,31.5565,40.0672,54.6009,-0.196984,MARK3,4140,M-003517-03,NM_002376,QDA103595,6,21,No
88,56478672,,Inactive,0,,,PRKCA,43.3503,38.8317,94.1628,111.636,-0.208292,-0.211807,848,1361,968,-1.89675,18.5142,43.7155,49.8988,-2.49492,PRKCA,5578,M-003523-03,NM_002737,QDA103627,11,8,No
89,56478673,,Inactive,0,,,PRKCD,26.6187,38.8317,94.1628,68.549,-1.03764,-1.3283,1167,1361,968,0.155502,35.9897,43.7155,49.8988,0.0282239,PRKCD,5580,M-003524-01,NM_006254,QDA103627,4,16,No
90,56478674,,Inactive,0,,,PRKCQ,63.4008,38.8317,94.1628,163.271,0.785575,0.658509,1180,1361,968,0.239136,30.678,43.7155,49.8988,-0.738693,PRKCQ,5588,M-003525-01,NM_006257,QDA103627,2,6,No
91,56478675,,Inactive,0,,,PRKCZ,29.4372,38.6229,93.3125,76.2171,-0.890047,-1.08555,1061,1275,1010.5,-0.0660292,42.0358,40.0672,54.6009,1.4538,PRKCZ,5590,M-003526-04,NM_002744,QDA103595,7,10,No
92,56478676,,Inactive,0,,,PRKR,49.2063,38.8317,94.1628,126.717,0.0819832,0.0782727,1307,1361,968,1.05618,29.9923,43.7155,49.8988,-0.837683,EIF2AK2,5610,M-003527-00,NM_002759,QDA103627,5,17,No
93,56478683,,Inactive,0,,,DUSP2,50.6209,37.5698,93.9149,134.738,0.236378,0.218786,1284,1314,967,1.20368,48.8318,42.5495,52.952,2.07558,DUSP2,1844,M-003565-01,NM_004418,QDA103628,8,22,No
94,56478687,,Inactive,0,,,MAP2K1,30.4088,38.8317,94.1628,78.3092,-0.849776,-1.02356,903,1361,968,-1.54292,26.6888,43.7155,49.8988,-1.31465,MAP2K1,5604,M-003571-01,NM_002755,QDA103627,13,17,No
95,56478688,,Inactive,0,,,MAP2K1IP1,29.3276,20.0391,92.1121,146.352,0.459919,0.408067,1290,1469,1150.5,0.336666,30.3876,47.0984,60.5051,-1.09575,MAP2K1IP1,8649,M-003572-02,NM_021970,QDA103531,12,17,No
96,56478689,,Inactive,0,,,MAP2K2,32.3042,38.8317,94.1628,83.1904,-0.755823,-0.885128,1239,1361,968,0.618707,36.5617,43.7155,49.8988,0.110814,MAP2K2,5605,M-003573-03,NM_030662,QDA103627,11,20,No
97,56478690,,Inactive,0,,,MAP2K4,39.0867,38.6229,93.3125,101.201,-0.409156,-0.43648,1183,1275,1010.5,0.771787,38.8842,40.0672,54.6009,0.957331,MAP2K4,6416,M-003574-02,NM_003010,QDA103595,13,15,No
98,56478692,,Inactive,0,,,MAP3K10,49.8503,38.8317,94.1628,128.375,0.113903,0.108038,1215,1361,968,0.464305,43.7037,43.7155,49.8988,1.14198,MAP3K10,4294,M-003576-01,NM_002446,QDA103627,3,4,No
99,56478694,,Inactive,0,,,MAP3K13,40.1929,38.8317,94.1628,103.506,-0.364795,-0.384928,845,1361,968,-1.91605,26.1538,43.7155,49.8988,-1.39189,MAP3K13,9175,M-003579-01,NM_004721,QDA103627,5,20,No
100,56478697,,Inactive,0,,,MAP3K5,58.5507,37.237,92.7941,157.238,0.669456,0.572318,945,1234,1031,-0.647021,20.8466,39.9446,56.7057,-1.87402,MAP3K5,4217,M-003584-02,NM_005923,QDA103607,11,14,No
101,56478699,,Inactive,0,,,MAP4K1,37.5128,38.8317,94.1628,96.6038,-0.497641,-0.542908,907,1361,968,-1.51718,34.9504,43.7155,49.8988,-0.121836,MAP4K1,11184,M-003586-01,NM_007181,QDA103627,10,13,No
102,56478700,,Inactive,0,,,MAP4K2,55.3883,38.8317,94.1628,142.637,0.388409,0.349202,1164,1361,968,0.136202,43.4708,43.7155,49.8988,1.10835,MAP4K2,5871,M-003587-01,NM_004579,QDA103627,7,5,No
103,56478702,,Inactive,0,,,MAP4K5,30.9946,37.237,92.7941,83.2361,-0.754943,-0.883871,1124,1234,1031,0.623076,37.0996,39.9446,56.7057,0.694154,MAP4K5,11183,M-003589-02,NM_006575,QDA103607,10,19,No
104,56478704,,Inactive,0,,,MAPK13,46.4899,38.8317,94.1628,119.722,-0.0526679,-0.0517339,1179,1361,968,0.232703,40.458,43.7155,49.8988,0.673362,MAPK13,5603,M-003591-02,NM_002754,QDA103627,4,5,No
105,56478707,,Inactive,0,,,MAPK6,70.993,38.6229,93.3125,183.811,1.18093,0.929782,1191,1275,1010.5,0.826725,32.1579,40.0672,54.6009,-0.102255,MAPK6,5597,M-003594-02,NM_002748,QDA103595,15,8,No
106,56478708,,Inactive,0,,,MAPK8IP1,48.7273,35.1362,94.6735,138.681,0.31227,0.284817,1024,1127,967,0.603357,48.3398,61.1021,71.0379,-0.174626,MAPK8IP1,9479,M-003595-00,NM_005456,QDA103937,9,15,No
107,56478716,,Inactive,0,,,PAK3,41.7984,38.8317,94.1628,107.64,-0.285214,-0.295262,963,1361,968,-1.15691,33.3333,43.7155,49.8988,-0.355308,PAK3,5063,M-003614-00,NM_002578,QDA103627,7,13,No
108,56478719,,Inactive,0,,,AVPR1A,40.2116,37.237,92.7941,107.989,-0.278507,-0.287863,994,1234,1031,-0.299341,35.6137,39.9446,56.7057,0.459355,AVPR1A,552,M-003631-01,NM_000706,QDA103607,5,22,No
109,56478720,,Inactive,0,,,TRIB1,32.5444,37.237,92.7941,87.3981,-0.674834,-0.772172,1018,1234,1031,-0.129049,32.5147,39.9446,56.7057,-0.0303141,TRIB1,10221,M-003633-01,NM_025195,QDA103607,8,13,No
110,56478721,,Inactive,0,,,IKBKE,20.6422,38.6229,93.3125,53.4455,-1.32836,-1.89808,1250,1275,1010.5,1.2319,36.8,40.0672,54.6009,0.629012,IKBKE,9641,M-003723-02,NM_014002,QDA103595,14,9,No
