PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average_score
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,average value for each compound
RESULT_UNIT,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,1
1,85788989,2603,Inconclusive,0,,,13.3
2,131404760,3889161,Active,100,,,27.8
3,134356650,56604860,Inconclusive,0,,,18.1
