PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,312361898,118716551,Active,,,Potential missing data,Activity,Active
2,312361996,118716602,Active,,,Potential missing data,Activity,Active
3,312361997,118716603,Active,,,Potential missing data,Activity,Active
4,312361998,118716604,Active,,,Potential missing data,Activity,Active
5,312361999,118716605,Active,,,Potential missing data,Activity,Active
6,312362000,118716606,Active,,,Potential missing data,Activity,Active
7,312362001,118716607,Active,,,Potential missing data,Activity,Active
8,312362002,118716608,Active,,,Potential missing data,Activity,Active
9,312362003,118716609,Active,,,Potential missing data,Activity,Active
10,312362004,118716610,Active,,,Potential missing data,Activity,Active
