PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average_score
RESULT_TYPE,,,,,,,FLOAT
RESULT_UNIT,,,,,,,NONE
1,85788989,2603,Inconclusive,0,,,68.25
2,131404760,3889161,Active,100,,,18.6
3,134356650,56604860,Inconclusive,0,,,75.1
